A PARIS, Chez TOVSSAINT QVINET, au Palais dans la petite Salle ſous la montee de	À PARIS, Chez TOUSSAINT QUINET, au Palais dans la petite Salle sous la monte de
PAN.	PAN.
Tu penſes détourner mon deſſein autre part, Et que l’œil du Dieu Pan charme de ſon regard:	Tu penses détourner mon dessein autre part, Et que l'œil du Dieu Pan charme de son regard:
Aueugle ne preuoit ceſte ruſe inuentee, Flattant de ce diſcours mon oreille enchantee.	Aveugle ne prévoit cette ruse inventée, Flattant de ce discours mon oreille enchante.
Ie iure par le Stix le ſerment ſolennel, Si ton cœur endurcy ſe force criminel, De ne point m’obeïr à l’heure deſiree, Tu ſeras auiourd’huy des ongles deſchiree.	Je jure par le Stix le serment solennel, Si ton cœur endurci se force criminel, De ne point m'obéir à l'heure désirée, Tu seras aujourd'hui des ongles déchirée.
Ie ne veux plus tarder pour auoir attendu, Ton orgueil abaiſse s'eſt ſuperbe rendu.	Je ne veux plus tarder pour avoir attendu, Ton orgueil abaisse s'est superbe rendu.
FLORIZE.	FLORIZE.
Qu'vn Dieu comme vn Tyran m'oppoſe ſa puiſſance, Que ſa lubricité ſoüille mon innocence, P tuſtoſt ue t'es tomatn t'arratneray mon cœur, Que de le voir ſubmis à l’infame vainqueur.	Qu'autre Dieu comme un Tyran m'oppose sa puissance, Que sa lubricité souille mon innocence, P tustost ue t'es tomatn t'arratnerai mon cœur, Que de le voir subis à l'infâme vainqueur.
PAN.	PAN.
Puiſque l’impieté part de ton ignorance, Le pardon deſormais deſpend de ma ſouffrance:	Puisque l'impiété part de ton ignorance, Le pardon désormais dépend de ma souffrance:
Tu ne ſçais conſeruer le bon heur qui te ſuit, Pes peuxtt vont encrenant, & ton ame le fuit.	Tu ne sais conserver le bon heur qui te suit, Pes peuxt vont encrenant, et ton âme le fuit.
La fortune t’auoit aſſez aduantagee, T’ayant de mon amour vnique partagee.	La fortune t'avait assez avantagée, T'ayant de mon amour vnique partagée.
FLORIZE.	FLORIZE.
I'ay posé mon vouloir au ſoin de mes amis, I’ay refusé touſiours ce qui n’eſt pas permis, Cette façon d’aymer au fort de la contreinte, Parmy les chaſtes cœurs ne donne pas atteinte.	J'ai posé mon vouloir au soin de mes amis, J'ai refusé toujours ce qui n'est pas permis, Cette façon d'aimer au fort de la contreinte, Parmi les chastes cœurs ne donne pas atteinte.
Amour ne peut ſouffrir de ſe voir ſurmonté, Tomt jon atilon giſten ta voiome.	Amour ne peut souffrir de se voir surmonté, Tompt jon atil gîten ta voie.
I'en demeure d’accort afin de te complaire, Tu te puis promener en ce lieu ſolitaire, Dans vne heure & rien plus ie te viendray reuoir, Pour apprendre au retour l’effet de ton vouloir, Satyres qu’vn de vous poſe la ſentinelle, Et l’autre gardera la chaſte criminelle.	J'en demeure d'accort afin de te complaire, Tu te puis promener en ce lieu solitaire, Dans heure et rien plus sens te viendrai revoir, Pour apprendre au retour l'effet de ton vouloir, Satyres qu'Haire de vous pose la sentinelle, Et l'autre gardera la chaste criminelle.
PAN ſort du iardin delicieux pour aller à la chaſſe, Celidor & le Capitaine abordent le Satyre vn peu eſloigné de la porte.	PAN sort du jardin délicieux pour aller à la chasse, Celidor et le Capitaine abordent le Satyre un peu éloigné de la porte.
SCENE TROISIESME.	SCÈNE -TROISIÈME.
CELIDOR.	CELIDOR.
2 Ommes nous pas icy proche de la maiſon, Où l'an vient demeurer en la belle ſaiſon?	2 Omêmes nous pas ici proche de la maison, Où l'an vient demeurer en la belle saison?
LE SATYRE.	LE SATYRE.
Quel Demon ennemy du bien & de la vie, Vous fait ſuiure en ſes lieux ceſte Nymphe rauie?	Quel Démon ennemi du bien et de la vie, Vous fait suivre en ses lieux cette Nymphe ravie?
Que n’eſtes vous venus apres moy qui l’a pris, Ie iure par le Ciel que ne m'eußieZ ſurpris, L’on euſt veu tout ſoudain ma peſante maſſue Preparer le chemin de mon heureuſe iſſue, D’vne main i’euſſe mis quatre bergers à bas, Et le reſte euſt eſté victime du treſpas.	Que n'êtes vous venus après moi qui l'a pris, Je jure par le Ciel que ne m'eussiez surpris, L'on eût vu tout soudain ma pesante massue Preparer le chemin de mon heureuse issue, D'une main j'eusse mis quatre bergers à bas, Et le reste eût été victime du trépas.
LE CAPITAINE.	LE CAPITAINE.
Moy ſeul ie puniray ton audace effrontee Comme Alcide embraſſa le corps de ſon Anthee, Que ſçais-tu le deſſein qui nous ameine icy, Si c’eſt à ce ſubiet ou d’vn autre ſoucy?	Moi seul seul junirai ton audace effronté Comme Alcide embrassa le corps de son Anthe, Que sais-tu le dessein qui nous âmeine ici, Si c'est à ce sujet ou d'un autre souci?
Vrayment ie ne croy pas que le Dieu Pan ſe ſerue, Ny qu’il face de toy ſi mauuaiſe reſerue.	Vraiment rien ne crois pas que le Dieu Pan se serve, Ni qu'il face de toi si mauvaise réserve.
LE SATYRE.	LE SATYRE.
Comment parler à moy, ſon maintien, ſon ſuport, A nepaencoun vne nonenje mort.	Comment parler à moi, son maintien, son suport, À nepaencou une nonenje mort.
Ie ne veux plus auoir ce beau nom de Satyre, St mon bras maintenant me cauſe ton martyre.	Je ne veux plus avoir ce beau nom de Satire, St mon bras maintenant me cause ton martyre.
CELIDOR.	CELIDOR.
Timandre laiſſe moy traitter ce rauiſſeur, C’eſt moy, c’eſt moy, qui dois eſtre le puniſſeur De l’horrible forfait commis à ma Deeſſe, Pour aſſonuti fur tuy monume begmeſſe.	Timandre laisse moi traiter ce ravisseur, C'est moi, c'est moi, qui dois être le punisseur De l'horrible forfait commis à ma Déesse, Pour assonuti fur tui monume begmesse.
LE SATYRE.	LE SATYRE.
Traiſtres, laſches, poltrõs, inuoqueZ du ſecours, Ie vous mettray bien toſt à la fin de vos iours:	Traîtres, lâches, poltrons, invoquez du secours, Je vous mettrai bien tôt à la fin de vos jours:
La crainte de ce coup leur courage rebouche, Et ſans plus differer i'attaque l’eſcarmouche.	La crainte de ce coup leur courage rebouche, Et sans plus différer j'attaque l'escarmouche.
Le Capitaine ſaiſit le Satyre & le ierte par terre.	Le Capitaine saisit le Satire et le jerte par terre.
LE CAPITAINE.	LE CAPITAINE.
Superbe ie te tiens, il ne faut conteſter, Außi bien c’eſt en vain ſi tu veux reſiſter:	Superbe ie te tiens, il ne faut contester, Aussi bien c'est en vain si tu veux résister:
Veinqueur i’etoufferay cette langue impudente, Qui pour nous aborder ne fuſt aſſeZ prudente.	Veinqueur j'étoufferai cette langue impudente, Qui pour nous aborder ne fût assez prudente.
LE SATYRE.	LE SATYRE.
A l’ayde compagnon, viens toſt ne ſecourir, Sans toy preſentement ie ſuis prest de mourir:	À l'aide compagnon, viens tôt ne secourir, Sans toi présentement ie suis prêt de mourir:
Ces bourreaux acharnez d’vne rage inſenſee Me font voir le penchant de mon heure aduancee.	Ces bourreaux acharnés d'une rage insensée Me font voir le penchant de mon heure avance.
Chetifs que faittes, vous ſera-il vn ſupplice Propre pour expier voſtre audace complice?	Chétifs que faites, vous sera-il vn supplice Propre pour expier votre audace complice?
S’adreſſer au Dieu Pan qui commande immortel, Entre nos deitez il ne s’en treuue vn tel:	S'adresser au Dieu Pan qui commande immortel, Entre nos déité il ne s'en trouve un tel:
Cependant offencer ſon Satyre fidelle, Ie vous voy deſtinez tous deux à la cordelle.	Cependant offenser son Satire fidèle, Je vous vois destinez tous deux à la cordelle.
Pour moy ie quitte là ta Nymphe & la priſon, Les combattre tous deux ce ſeroit ſans raiſon.	Pour moi vertu quitte là ta Nymphe et la prison, Les combattre tous deux ce serait sans raison.
FLORIZE.	FLORIZE.
Bergers qui que ſoyeZ d’vne oreille attentiue, EſcouteZ les ſoupirs de Francine captiue, Ne m’abandonnez point, ie ſuis entre vos mains, Faittes donc mes captifsi ſes cruels inhumains:	Bergers qui que soyeZ d'une oreille attentive, Écoutez les soupirs de Francine captive, Ne m'abandonnés point, elle suis entre vos mains, Faites donc mes captifsi ses cruels inhumains:
Qui diront à mes pieds par vn contraire eſchange, La priſonniere en fin à ſa merci nous range.	Qui diront à mes pieds par un contraire échange, La prisonnière en fin à sa merci nous range.
CELIDOR.	CELIDOR.
Belle de qui mes yeux ont chery le portrait, Auiourd huy que ie voy leur gracieux attrait, Ie cognois que la main du peintre inimitable, Le voulant imiter ne fut pas veritable:	Belle de qui mes yeux ont chéri le portrait, Auiourd hui que je vois leur gracieux attrait, Je connais que la main du peintre inimitable, Le voulant imiter ne fut pas véritable:
Ie preuoy mon malheur pour auoir trop de bien, Vous meriteZ beaucoup, ie ne merite rien, Avrondeſii vtotent, & voſtrt inaiſference Me priuent à l’inſtant de ma douce eſperance.	Je prévois mon malheur pour avoir trop de bien, Vous méritez beaucoup, tu ne mérite rien, Avrondesii vtotent, et vostrt inaisférence Me privent à l'instant de ma douce espérance.
FLORIZE.	FLORIZE.
Ce n'eſt pas ence lieu que ie puis aſſeurer, Ny de l’affection, ny de vous honorer, A peine ſuis-ie à moy, Celinde me poſſede, De ſon com.	Ce n'est pas ence lieu que je puis assurer, Ni de l'affection, ni de vous honorer, À peine suis-je à moi, Celinde me possède, De son com.
u.	u.
juccede, Esloignons nous d’icy, prenons la ſeureté, I'apprehende l’abort du Dieu Pan irrité.	jucède, Éloignons nous d'ici, prenons la sûreté, J'appréhende l'abort du Dieu Pan irrité.
LE CAPITAINE.	LE CAPITAINE.
Bergere ne craignez que ce Dieu vous offence, Puiſque vous nous auez preſts à voſtre defence, Pluſtost que de ſouffrir qu’on attente ſur vous, Ie veux que lupiter éclate ſon courrous,	Bergère ne craignez que ce Dieu vous offense, Puisque vous nous avez prêts à votre défense, Plutôt que de souffrir qu'on attente sur vous, Je veux que lupiter éclate son courrous,
Et mon chef innocent ecraſe de ſa foudre, Reprenez vos esprits, car il ſe faut reſoudre De reuoir auiourd’huy celle que vous aymez:	Et mon chef innocent ecrase de sa foudre, Reprenez vos esprits, car il se faut résoudre De revoir aujourd'hui celle que vous aimez:
Helas!	Hélas!
celle qui tient mes deſirs enflamez, Nous trois allons offrir à l’autel de ſes chatmes Ce Satyre enchaiſné par l’effort de nos armes.	celle qui tient mes plaisirs enflamés, Nous trois allons offrir à l'autel de ses chatmes Ce Satyre enchaîné par l'effort de nos armes.
ACTE CINQVIESME.	ACTE CINQUIÈME.
SCENE INEMTERE.	SCÈNE INEMTERE.
FLORIZE.	FLORIZE.
Ve l’on donne loiſir à mes iours éplorez Slſr De reuoir auiourd’huy mes parens deſirez.	Ve l'on donne loisir à mes jours éplorés Slsr De revoir aujourd'hui mes parents désirés.
Que le rauiſſement eſtouffe ma parole, Avla tante recepueZ mon ame qui s'ennole, Afin que ſi ie meurs ie puiſſe teſmoigner La haine contre vn Dieu qui m’en fiſt eſloigner.	Que le ravissement étouffe ma parole, Avla tante recepués mon âme qui s'ennole, Afin que si ici meurs je puisse témoigner La haine contre un Dieu qui m'en fit éloigner.
CELINDE.	CELINDE.
Changeons ſes triſtes pleurs en feſtes continuës, Que l'accent de nos voix s'eſleue iuſqu'aux nuës.	Changeons ses tristes pleurs en fêtes continues, Que l'accent de nos voix s'esleue iusqu'aux nues.
Qu'vn Automne eternel face gouſter ſes fruicts, Que ſes rares bergers ont maintenant produits, Allons nous repoſer, te tenant embraſſee.	Qu'un Automne éternel face goûter ses fruits, Que ses rares bergers ont maintenant produits, Allons nous reposer, te tenant embrassée.
le le uiiay famoi ae jenane mia peiit.	le le uiai famoi ae jenane mia péiit.
FLORIZE.	FLORIZE.
Ie ne veux le repos à mon contentement, p ntuu dans tt piaiſti peute ticincutment, Le ſommeil aſſoupist, & deſrobe noſtre ame.	Je ne veux le repos à mon contentement, p tuu dans tient piaisti ère ticincutment, Le sommeil assoupît, et dérobe notre âme.
CELINDE.	CELINDE.
N’as-tu point reſſenti quelque amoureuſe flame Par le charmant aſpect de ce ieune berger?	N'as-tu point ressenti quelque amoureuse flamme Par le charmant aspect de ce jeune berger?
Dis le moy franchement, ie te puis ſoulager, Ce ſouhait eſt permis en vn party ſortable, Ie l’ay touſiours iugé pour eſtre bien traitable.	Dis le moi franchement, tu te puis soulager, Ce souhait est permis en un parti sortable, Je l'ai toujours jugé pour être bien traitable.
FLORIZE.	FLORIZE.
Ie iure c’eſt à quoy ie n’ay iamais pensé, Luy-meſme le ſçachant en ſeroit offencé, Qui pourroit refuſer ceſte offre preſentee.	Je jure c'est à quoi quelque n'ai jamais pensé, Lui-même le suivant en serait offensé, Qui pourrait refuser cette offre preste.
CELINDE.	CELINDE.
S’il ne tient qu’à cela l’affaire eſt arreſtee, Ie cognois ſon deſſein n’ayant rien entrepris, Que meſme ſans le voir ſon œil ne futépris.	S'il ne tient qu'à cela l'affaire est arrête, Je connais son dessein n'ayant rien entrepris, Que même sans le voir son œil ne futépris.
Ce portrait où tu vois ta figure dépeinte Monſtre aſſez clairemẽt que ce n’eſt vne feinte.	Ce portrait où tu vois ta figure dépeinte Montre assez clairement que ce n'est toujours feinte.
Les Dieux l’ont accordé par l’oracle certain D’vne de qui la voix n’eclatte point en vain.	Les Dieux l'ont accordé par l'oracle certain 'une de qui la voix n'eclatte point en vain.
FLORIZE.	FLORIZE.
Si les Dieux l’ont voulu, ma reſiſtance vaine Ne ſçauroit diuertir l’ordonnance certaine, Mais il n'eſt pas beſoin afin de m’eſmouuoir D’alleguer le deſtin que de voſtre pouuoir:	Si les Dieux l'ont voulu, ma résistance vaine Ne saurait divertir l'ordonnance certaine, Mais il n'est pas besoin afin de m'émouvoir D'alléguer le destin que de votre pouvoir:
Ne ſuis-ie pas à vous, c’eſt à moy de complaire, Et ſuiure le conſeil de celle qui m’eclaire.	Ne suis-je pas à vous, c'est à moi de complaire, Et suivre le conseil de celle qui m'eclaire.
CELINDE.	CELINDE.
Tu m’obliges beaucoup, ſi mon election Peut aller au deuant de ton affection, Vn iour craignant de voir ſa courſe retardee, Ie luy donnay pour toy ma promeſſe accordee, Vn plus iuſte guerdon ne ſe doit propoſer, Que le meſme ſubiet qui nous fait tout ozer.	Tu m'obliges beaucoup, si mon élection Peut aller au devant de ton affection, V our craignant de voir sa course retardée, Je lui donnai pour toi ma promesse accordée, Un plus juste guerdon ne se doit proposer, Que le reste sujet qui nous fait tout zer.
SCENE DEVXIESME.	SCÈNE DEUXIÈME.
CELIDOR, LE CAPITAINE.	CELIDOR, LE CAPITAINE.
CELINDE, FLORIZE.	CELINDE, FLORIZE.
Adame vous teneZ la victoire aſſeuree, Puis que vous poſſedeZ la Nymphe deſiree, Le Satyre à vos pieds demande le pardon, Cela me ſatisfait, mon amoureux hrandon, Si voſtre liberté me met en ſeruitude, Prenez compaßion de mon inquietude:	Adame vous teneZ la victoire assurée, Puis que vous possédez la Nymphe désirée, Le Satyre à vos pieds demande le pardon, Cela me satisfait, mon amoureux hrandon, Si votre liberté me met en servitude, Prenez compassion de mon inquiétude:
Ie vous offre mon cœur n’ayant rien de plus cher, Vn obſtacle mortel ne me peut empeſcher.	Je vous offre mon cœur n'ayant rien de plus cher, Un obstacle mortel ne me peut empêcher.
Deſia le Ciel benin accorde ma demande, Ouurez dõc à mes vœux la bouche qui cõmande.	Déjà le Ciel bénin accorde ma demande, Ouvrez donné à mes vœux la bouche qui commande.
E iij	 Ejà
CELINDE.	CELINDE.
Francine regardeZ ce berger pres de vous, Ce n’eſt pas la raiſon de le mettre en courrous, Ne le refuſe pas, außi bien en ta iouë, Lon voit dans ſa rougeur vn amour qui ſe ioue.	Francine regardez ce berger pres de vous, Ce n'est pas la raison de le mettre en courrous, Ne le refuse pas, aussi bien en ta joue, Lon voit dans sa rougeur un amour qui se joue.
Ton regard adoucy teſmoigne deſirer Le bien dont maintenant tu le puis aſſeurer.	Ton regard adouci témoigne désirer Le bien dont maintenant tu le puis assurer.
FLORIZE.	FLORIZE.
Ma tante ſi tu veux agreer ſon ſeruice, Il ne faut pas außi commettre vne iniuſtice Vers celuy dont le bras a dompté l’ennemy, Car de parler de moy n’eſt parler qu'à demy, Commencez außi toſt ie ſuis preste de ſuiure, Außibien ſans vos yeux Alcandre ne peut viure.	Ma tante si tu veux agréer son service, Il ne faut pas aus commettre une injustice Vers celui dont le bras a dompté l'ennemi, Car de parler de moi n'est parler qu'à demi, Commencez auss tôt tu suis prête de suivre, Alibien sans vos yeux Alcandre ne peut vivre.
CELINDE.	CELINDE.
Mauuaiſe que fais-tu d’auancer ce propos, Voudrois-tu conſentir à troubler mon repos?	Mauvaise que fais-tu d'avancer ce propos, Voudrais-tu consentir à troubler mon repos?
LE CAPITAINE.	LE CAPITAINE.
A qui puis-ie des deux adreſſer ma priere, Qui doibt eſtre en ce lieu ma deeſſe premiere?	À qui puis-je des deux adresser ma prière, Qui doibt être en ce lieu ma déesse première?
L’vne eſt le ſeul objet de mon parfait amour, Et l’autre en ce deſſein a redonné le iour, Le ſilence tardif fut teſmoin de ma honte, Sans l’auoir merité Francine le ſurmonte:	L'une est le seul objet de mon parfait amour, Et l'autre en ce dessein a redonné le jour, Le silence tardif fut témoin de ma honte, Sans l'avoir mérité Francine le surmonte:
Toutes deux recepueZ vn hommage rendu Par celuy qui vous tient ſon bon-heur attendu.	Toutes deux recepués un hommage rendu Par celui qui vous tient son bonheur attendu.
CELIDOR.	CELIDOR.
Ces deux cœurs ne ſont qu’vn, & leur ame diuerſe, Chaſcune en ſon vouloir iamais ne ſe trauerCelinde m’a promis de me fauoriſer, u.	Ces deux cœurs ne sont qu'vn, et leur âme diverse, Châcune en son vouloir jamais ne se traverCelinde m'a promis de me favoriser, .
Par conſequent il faut d’vne meſme entrepriſe Nous tenant en ſes fers qu’elle ſoit außi priſe.	Par conséquent il faut d'une même entreprise Nous tenant en ses fers qu'elle soit aussi prise.
CELINDE.	CELINDE.
Celidor n’a non plus manqué de repartie, Qu’hymen le plus ſouuent d’vn faſcheux repentie, En cela ſeul ie tiens la femme incorrigible.	Celidor n'a non plus manqué de répartie, Qu'hymen le plus souvent d'un fâcheux repentie, En cela seul un tiens la femme incorrigible.
E iiij	 iiij
LE CAPITAINE.	LE CAPITAINE.
Cette correction nous eſt außi loiſible.	Cette correction nous est aussi loisible.
Au ſeruage plus doux que noſtre liberté Efiuſel aui jaui vlle neunicotante.	Au servage plus doux que notre liberté Efiusel aujus jaui vlle neunicotante.
CELINDE.	CELINDE.
C’eſt l’vnique moyen d’eſtre mieux conſeruee, L’exemple nous en ſert de recepte aprouuee:	C'est l'unique moyen d'être mieux conservée, L'exemple nous en sert de recepte après:
Toutefois il le faut, i’en demeure d’acort, Commettons le progrez à la mercy du fort, I’en veux auoir l’aduis de la ſage mondaine, Elle a touſiours eſté compagne de ma peine.	Toutefois il le faut, j'en demeure d'acort, Commettons le progrès à la merci du fort, J'en veux avoir l'avis de la sage mondaine, Elle a toujours été compagne de ma peine.
Trancine iu feras t'nonneur de la mdiſon, De toy ſeule depend toute la guariſon.	Trancine ju feras t'-nonneur de la médison, De toi seule dépend toute la garison.
LE CAPITAINE.	LE CAPITAINE.
Madame donneZ moy le ſoin de la conduitte, Vous ſçauez à quel point ma volonté reduitte Pretend viure ou mourir, le conſeil en eſt pris, Ne me puniſſeZ pas de ce faſcheux meſpris.	Madame donnez -moi le soin de la conduite, Vous savez à quel point ma volonté réduite Pretend vivre ou mourir, le conseil en est pris, Ne me punissez pas de ce fâcheux mépris.
CELINDE.	CELINDE.
Tellement que deſia vous me faittes cognoiſtre, Que d’humble ſeruiteur vous deuiendrez le maiſtre.	Tellement que déjà vous me faites connaître, Que d'humble serviteur vous deviendrez le maître.
C’eſt noſtre aueuglement qu’il en faut accuſer, Allons, car il n'eſt pas heure de s'excuſer.	C'est notre aveuglement qu'il en faut accuser, Allons, car il n'est pas heure de s'excuser.
FLORIZE.	FLORIZE.
Quoy vous me laiſſez donc?	Quoi vous me laissez donc?
qui me pourra defendre, Si Celidor vouloit vn baiſer entreprendre?	qui me pourra défendre, Si Célidor voulait un baiser entreprendre?
Mon bras n'eſt aſſez fort aduiſez à cela.	Mon bras n'est assez fort avisez à cela.
CELINDE.	CELINDE.
Demeurez Ianneton pour faire le hola.	Demeurez Ianneton pour faire le holà.
CE LIDOR.	CE LIDOR.
Ma belle ne craignez, le reſpect & la crainte Tiennent ma paßion en ſi douce contrainte, Qu’au plus fort des ſouſpirs ie n’oZe m’aduãcer, J’apprehende ſouuent le crime de penſer, Si i’aproche vne fois ceſte bouche vermeille, St vomo me permeutz uure vn mor à Toreiſle, Ie ſçay que mon amour forcera le deſtin, Et que vous n’aurez plus le courage mutin.	Ma belle ne craignez, le respect et la crainte Tiennent ma passion en si douce contrainte, Qu'au plus fort des soupirs je n'oSe m'aduãcer, J'appréhende souvent le crime de penser, Si j'approche une fois cette bouche vermeille, St vomo me permeut uure mór Toreisle, Ie sçay que mon amour forcera le destin, Et que vous aurez plus le courage mutin.
FLORIZE.	FLORIZE.
Quel ſubiet auez vous de me nommer cruelle, e queduineou pui meu jauuſſoa(oelle;	Quel sujet avez -vous de me nommer cruelle, é queduineou puy meu jauussoja (oelle;
CELIDOR.	CELIDOR.
ger?	ger?
Aſſez belle, hé pourquoy voulez vous m’outraPourquoy me traittez vous ainſi qu'vn eſtrãger?	Assez belle, hé pourquoi voulez -vous m'outraPourquoi me traitez vous ainsi qu'un estrãger?
SCENE TROISIESME.	SCÈNE -TROISIÈME.
PAN LE SATYRE, CELIDOR, FLORIZE.	PAN LE SATYRE, CELIDOR, FLORIZE.
Florize apperçoit le Dieu Pan de fort Tois a palle a celdor,	Florise aperçoit le Dieu Pan de fort Tois a palle à celuidor,
L’ayde Celidor ſecourez moy de grace, I’apperçoy le Dieu Pan qui deſia nous menace, Le polla forcened vnregard ſurienx, Qui peut faire trembler & la terre & les Cieux.	L'aide Célidor secourez -moi de grâce, J'aperçois le Dieu Pan qui déjà nous menace, Le polla forcened uiregard surienx, Qui peut faire trembler et la terre et les Cieux.
PAN.	PAN.
Tu fuis donc deuant moy qui cherche ta preſence, Tu me vas abuſant d’vne trompeuſe abſence.	Tu fuis donc devant moi qui cherche ta présence, Tu me vas abusant d'une trompeuse absence.
Ce pendant ie languis apres toy ſouspirant D’vn regret eternel qui me va deuorant.	Ce pendant ici languis après toi soupirant D'un regret éternel qui me va dévorant.
Si ie m’en veux venger eſt-il vn temeraire, Qui ſe vueille oppoſer aux traits de ma côlere?	Si ici m'en veux venger est-il un téméraire, Qui se veuille opposer aux traits de ma côlere?
Sans mentir n’eſt ce pas quelque galãd du Cours Que mu paue auiourd’huy du fruict de mes amours?	Sans mentir n'est ce pas quelque galamèd du Cours Que mu pave aujourd'hui du fruit de mes amours?
CELIDOR.	CELIDOR.
Ie ſçay que lupiter me peut reduire en poudre, Mais en ce ſubiet là ie m'oppoſe à ſon foudre.	Je sais que lupiter me peut réduire en poudre, Mais en ce sujet là apprendre m'oppose à son foudre.
Non, ie n’auray iamais le reſpect de Seigneur, A quiconque voudra me rauir ce bon-heur.	Non, ie n’aurai jamais le respect de Seigneur, À quiconque voudra me ravir ce bonheur.
PAN.	PAN.
Qu’vn epieudans la main außi toſt ie ſepare Le cœur en mille pars d’vn inſolent Icare.	Qu'un épieudans la main aussi tôt ie apare Lé cœur en mille pars d'un insolent Jécare.
CELIDOR.	CELIDOR.
Et moy preſentement que d’vn pareil effort Ie liureray celuy qui commande à la mort.	Et moi présentement que d'une pareil effort Je livrerai celui qui commande à la mort.
Sur le combat eſchauffé, le Poëte par hazard ſe rencontre qui les ſepare & les rend bons amis.	Sur le combat échauffé, le Poète par hasard se rencontre qui les sépare et les rend bons amis.
LE POETE.	LE POTE.
Inſensé que fais-tu, quelle audace mutine Cẽtre vn Dieu tout puiſſant le courage t’obſtine?	Insensé que fais-tu, quelle audace mutine Caître un Dieu tout puissant le courage t'obstine?
Toy pere des bergers te faut-il éprouuer Contre vn que tu ſerois obligé de ſauuer?	Toi père des bergers te faut-il éprouver Contre un que tu serais obligé de sauver?
Sm trene du combãt, crainte d'vne nisée, C’est bien là comme il faut traitter vne épouſee.	Sm oie du combatt, crainte d'une nisée, C'est bien là comme il faut traiter une épouse.
PAN.	PAN.
Ta prudence luy ſert de pardon auiourd’huy, Sans doute qu’elle auoit beſoin de ton apuy.	Ta prudence Seigneur sert de pardon aujourd'hui, Sans doute qu'elle avait besoin de ton appui.
CELIDOR.	CELIDOR.
Ie ſuis preſt de flechir, & le genoüil en terre, Deuant vous de finir ceſte funeſte guerre.	Je suis prêt de fléchir, et le genou a terre, Deuant vous de finir cette funeste guerre.
Si par vostre congé ie ſuis aſſeZ heureux, De poſſeder vn iour mon obiet amoureux.	Si par votre congésois suis assez heureux, De posséder un jour mon objet amoureux.
PAN.	PAN.
Ie t’y veux aßiſter au lieu d’eſtre contraire, Tu l’as trop merité pour le vouloir ſouſtraire.	Je t'y veux assister au lieu d'être contraire, Tu l'as trop mérité pour le vouloir soustraire.
LE POETE.	LE POTE.
En faueur de tous deux ie benis le moment, Qui m'aproauitlauttaeur d'vntetcontentement,	En faveur de tous deux ie bénis le moment, Qui m'aproauitlauttaeur d'untetcontentement,
CELIDOR.	CELIDOR.
Mais cecy n’est pas tout, il faut que l’Hymenee Par vn double lien cloſe telle iournee.	Mais ceci n'est pas tout, il faut que l'Hymène Par un double lien close telle journée.
Allons voir noſtre amy que Celinde retient, C’eſt à luy maintenant que l’honneur appartiẽt.	Allons voir notre ami que Celinde retient, C'est à notre maintenant que l'honneur appartiment.
ib ſont tons aſſembleZauceqne ſe Dimde, Pour vous venir treuuer, ie ſeruiray de guide.	ib sont tons assembleZauceqne se Dimde, Pour vous venir trouver, toujours servirai de guide.
FLORIZE parle au Dicu PAN.	FLORIZE parle au Dicu PAN.
Ie me iette à vos pieds m’acquitant du debuoir Que mon humilité rend à vostre p auoir.	Je me jette à vos pieds m'acquitant du débuoir Que mon humilité rend à votre p avoir.
Vous aueZ deſiré l’autorité ſupreme, atn eſ pus vn de nons qui n'aſſeurt temeſme.	Vous avez désiré l'autorité suprême, atn es pus un de nons qui n'assurt temesme.
Faittes en ma faueur que l’oubly du paßé Tienne le ſouuenir deſormais effacé.	Faites en ma faveur que l'oubli du passé Tienne le souvenir désormais effacé.
PAN.	PAN.
Vn facile pardon eſt ioint à ton excuſe, Deuant toy franchement du crime ie m'accuſe, Ta beauté dans mes yeux acommis le forfait, Qui rend preuue à ce iour de ſon dernier effet.	Un facile pardon est joint à ton excuse, Devant toi franchement du crime quelque m'accuse, Ta beauté dans mes yeux acommis le forfait, Qui rend preuve à ce jour de son dernier effet.
A dieu ſans te reuoir, que perſonne ne ſuiue, Ie deſire en ce lieu que tout bon heur arriue.	À dieu sans te revoir, que personne ne suive, Je désire en ce lieu que tout bon heur arrive.
LE DRVIDE.	LE DRVIDE.
VoyeZ comme le Ciel vous vit de toutes pars, Qu’il fait luire l’aspect de ſes benins regars, Cela ne ſuffiſt point, & faut que la priere D’vne felicite conſerue la lumiere.	VoyeZ comme le Ciel vous vit de toutes pars, Qu'il fait luire l'aspect de ses bénins regars, Cela ne suffît point, et faut que la prière D'une félicite conserve la lumière.
Viuez touſiours vnis en ſemblable deſir, Que le faſcheux degouſt n'altere le plaiſir, Que pas vn d'entre vous n'aille courir au chanAins deſſous le mary que la femme ſe range.	Vivez toujours unis en semblable désir, Que le fâcheux dégoût n'altère le plaisir, Que pas un d'entre vous n'aille courir au chanins dessous le mari que la femme se range.
Amphion ſi tu veux tu te puis marier, Tous deux eſtes preſens pour vous aparier.	Amphion si tu veux tu te puis marier, Tous deux êtes présents pour vous apparier.
LE POETE.	LE POTE.
Ie ne ſuis pas ſi ſot de me mettre en ſeruage, Mon cœur tremble au recit du nom de cocuage.	Je ne suis pas si sot de me mettre en servage, Mon cœur tremble au récit du nom de cocuage.
