ARGVMENT SVR L’EMETIQVE PREPARE.	ARGUMENT SUR L'ÉMÉTIQUE PRÉPARE.
Monſieur tous vos eſprits eront interinez, moy meſme i’y ſouſcrits, ous plaiſt-il cependant que Themys prenne place.	Monsieur tous vos esprits eront intérinez, mo même j'y souscrits, ous plaît-il cependant que Thémis prenne place.
MERCVRE.	MERCURE.
Voyons cét harangueur, ’il aura bonne grace.	Voyons cet harangueur, 'il aura bonne grâce.
RADAMANTE.	RADAMANTE.
Reyne de l’équité, par ces mots il appert.	Reine de l'équité, par ces mots il appert.
MOMVS.	MOMUS.
Bailly de Vaugirard, nous voila pris ſan verd, Soufflez-le, s’il vous plaiſt, ſa memoire eſt la bilNous allons proceder ſur Requeſte civile, Vous voila devoyé, devoyé vous voila.	Bailly de Vaugirard, nous voilà pris san verd, Soufflez-le, s'il vous plaît, sa mémoire est la bilNous allons procéder sur Requête civile, Vous voila devoyé, devoyé vous voilà.
MERCVRE.	MERCURE.
Il a réponſe à tout hormis à qui-va-là?	Il a réponse à tout hormis à qui-va-là?
Monſieur, remett 2-vous, & nous quittez l ſiege, Themis ſe ſied avec Mereure di coſté, & M mus de l’auire.	Monsieur, remett 2-vous, et nous quittez l iège, Themis se sied avec Mèreure di ôté, et M us de l'avire.
RADAMANTE.	RADAMANTE.
Le petit Stibyon ſeroit ſorty ſoubs pleige.	Le petit Stibyon serait sorti sous pleige.
THEMYS.	THEMIS.
Pourquoy le condamner ſans avoir des tes moins?	Pourquoi le condamner sans avoir des tes moins?
MERCVRE.	MERCURE.
Pourquoy le tetient-on toûjours ſur, & tan moins, N’eſtant pas condamné d’Arreſt contradictoin Il doit eſtre pour ſoy caution iuratoire.	Pourquoi le tetient-on toujours sur, et tan moins, N'étant pas condamné d'Arrest contradictoin Il doit être pour soi caution juratoire.
MOMVS.	MOMUS.
Nous entendons l’eſtecq.	Nous entendons l'estecq.
THEMYS.	THEMIS.
Qu’on le faſſe venir.	Qu'on le fasse venir.
RADAMANTE.	RADAMANTE.
Meſſieurs, permettez-moy de vous entre tenir, Des accuſations.	Messieurs, permettez-moi de vous entre tenir, Des accusations.
& preuves convainquantes.	et preuves convainquantes.
MOMVS Parlez, ſi vous pouvez RADA	MOMUS Parlez, si vous pouvez RADA
RADAMANTE.	RADAMANTE.
Ses fautes delinquantes.	Ses fautes délinquantes.
MERCVRE.	MERCURE.
Bon, voicy de bons mots.	Bon, voici de bons mots.
RADAMANTE.	RADAMANTE.
Eſtant chez les mortels, L’ont fait mettre à couvert pour garder vos aue 135	Étant chez les mortels, L'ont fait mettre à couvert pour garder vos aue 135
THEMYS.	THEMIS.
Lors qu’il ſera venu vous nous direz le reſte.	Lors qu'il sera venu vous nous direz le reste.
LE MEDECIN.	LE MÉDECIN.
Grande Reyne Themys devant vous ie proteſte, ue tout ce que i’ay dit dans mon objection, dle prejudiciera contre le Stibyon, Ve pretendant par là tirer à conſequence,	Grande Reyne Themys devant vous ie proteste, ue tout ce que ay dit dans mon objection, de Reine contre le Stibyon, De prétendant vous pô tirer p conséquence,
MERCVRE.	MERCURE.
Autre Advocat pour nous.	Autre Advocat pour nous.
MOMVS.	MOMUS.
Mootrez voſtæ eloquence,, Et ſi ie peux icy preſider à mon tour, oy de vieux Piocureur vous reverrez le iour.	Modérez vostæ éloquence, Et si ici peux ici présider à mon tour, oi de vieux Piocureur vous reverrez le jour.
THEMYS parlant à Radamante.	THEMIS parlant à Radamante.
Pourſuivez maintenant, voicy voſtre coupable.	Poursuivez maintenant, voici votre coupable.
CARON r’entre en tremblant.	CARON rentre en tremblant.
On le va délivrer, me voila miſerable, vay rompre le bag, & nargue des humains,	On le va délivrer, me voilà misérable, vais rompre le bag, et nargue des humains,
RADAMANTE.	RADAMANTE.
Depuis qu’vn Medecin l’a mis entre vos mains Mille & mille mortels qui là couchez par terte Se plaignent icy bas de ſa cruelle guerre, En mépriſant les loix qu’on obſerve chez nous Il force nos cachors, & rend nos gardes fous.	Depuis qu'un Medecin l'a mis entre vos mains Mille et mille mortels qui là couchés par terte Se plaignent ici bas de sa cruelle guerre, En méprisant les lois qu'on observe chez nous Il force nos cachors, et rend nos gardes fous.
MOMVS Les petites maiſons n’en ſeront pas moitpleines	MOMUS Les petites maisons n'en seront pas moitèleines
RADAMANTE.	RADAMANTE.
Bellone aux champs de Mars, ouvrant cer mille veines, N'a pas fait en dix ans, ce qu’il fait en deu mois, Vn milier de témoins vont paroiſtre à la fois, Si vous le deſirez pour preuve de mon dire.	Belone aux champs de Mars, ouvrant cer mille veines, N'a pas fait en dix ans, ce qu'il fait en de vais, Un milier de témoins vont paraître à la fois, Si vous le désirez pour preuve de mon dire.
THEMYS.	THEMIS.
Quoy donc, petit morveux, iuſques dans eu Empire, Sans avoir nul adveu, ſans reſpect de ma loy, Vous diſpoſez du ſort qui n’appartient qu’à moi Quoy, ne ſçavez-vous pas dans le ſiecle u nous ſommnes, Que ſeul & ſans ſecond ie diſpoſe des hommes Ayant droit ſur leurs biens.	Quoi donc, petit morveux, jusqu' appartie Empire, Sans avoir nul aveu, sans respect de ma loi, Vous disposez du sort qui n'appartient qu'à moi Quoi, ne savez-vous pas dans le siècle nous sommnes, Que seul et sans second ie dispose des hommes Ayant droit sur leurs biens.
MOMVS.	MOMUS.
Dans ces difficultez, Ceux de la Faculté ſeront ſans facultez.	Dans ces difficultés, Ceux de la Faculté seront sans facultés.
THEMYS.	THEMIS.
Parlez, & répondez.	Parlez, et répondez.
MERCVRE.	MERCURE.
Il eſt temps de paroiſtre, Allons petit Couſin, faut ſe faire connoiſtre, Expoſe-nous ton fait.	Il est temps de paraître, Allons petit Cousin, faut se faire connaître, Expose-nous ton fait.
MOMVS.	MOMUS.
Allons petit marmot, toila bien du can can, pour nous joſer vn mot	Allons petit marmot, toilà bien du can can, pour nous joser un mot
L’ANTTMOINE.	L'ANTTMOINE.
STANCES.	STANCES.
Quoy qu’Eſculap ſoit mon iuge Et mon interprette benin, Paſſant icy pour pur venin, rnemys uon eide mon refuge :	Quo qu’Esculap soit mon juge Et mon interprète bénin, Passant ici pour pur venin, rémiz uon eide mon refuge :
Accuſe comme criminel Digne d’vn ſupplice eternel.	Accuse comme criminel Digne d'un supplice éternel.
Ie ſuis coupable ſans offence, Et ſi i’ay mis quelqu’va à bout, I’eſtois contraint & ſans deffence Les ſeuls Medecins ont fait tout.	Je suis coupable sans offense, Et si j'ai mis quelqu'une à bout, J'étais contraint et sans défense Les seuls Médecins ont fait tout.
Les mortels laſſez du carnagé Eſtoient avares de leur ſang, Lors qu’on m’eſleva dans ce ranp Pour faire le meſme ravage, En ſaignant l’on affoibliſſoit, Et par apres on languiſſoit Ce qui maintenoit les fourrures, Mais moy je fais en vae fois Ce que vingt & trente picqures Ne ſçauroient pas faire en vn mois.	Les mortels lassez du carnagé Étaient avares de leur sang, Lors qu'on m'éleva dans ce ranp Pour faire le même ravage, En saignant l'on affaiblissait, Et par après on languissait Ce qui maintenait les fourres, Mais moi je fais en vae fois Ce que vingt et trente piqûres Ne sauraient pas faire en un mois.
Malgté moy ie ſuis leur complice Apres mille & mille détours, On me met au feu trente iours Et ie reſiſte à ce ſupplice;	Malgé moi -même suis leur complice Après mille et mille détours, On me met au feu trente jours Et il résiste à ce supplice;
Ie deviens paſle & ſafrané Rouge pourprin, demy tané.	Je deviens pâle et safrané Rouge pourprin, demi tané.
Lors on enyvre ma colere Pour me fiire devenir fou, Apres le feu de reverbere On me met au vin iuſqu’au cou.	Lors on enivre ma colère Pour me fiire devenir fou, Après le feu de réverbère On me met au vin jusqu'au cou.
Dans cét eſtat ſuivant leur ordre Châque corps devient ma priſon, Et pour ſortir de garniſon Ie fais ſouvent bien du deſordre, Si toſt que i’ay cuvé mon vin Ie croy trouver le Medecin Et me vanger de ſon outrage;	Dans cet état suivant leur ordre Châque corps devient ma prison, Et pour sortir de garnison Je fais souvent bientôt du désordre, Si tôt que j'ai cuvé mon vin Je crois trouver le Médecin Et me venger de son outrage;
Mais n’y prenant pas garde aſſez Celuy qui me retient en cage Paye pour eux les pots caſſez.	Mais n'y prenant pas garde assez Celui qui me retient en cage Paye pour eux les pots cassés.
Eſtant dans le ſein de ma mere Ie cherche à me ioindre aux metaux, Et non pas avec des bruttaux Pour eſtre touſiours en colere;	Étant dans le sein de ma mère Je cherche à me joindre aux métaux, Et non pas avec des brutaux Pour être toujours en colère;
Des Chimiſtes ie ſuis le Dieu Tenant iuſtement le milieu Entre le metail & la mine, Et ie faits contre tous les corps Ce que feroit vne machine Contre vne Ville & ſes dehors.	Des Chimistes fois suis le Dieu Tenant justement le milieu Entre le métail et la mine, Et ie forts contre tous les corps Ce que ferait une machine Contre une Ville et ses dehors.
Toutes les plantes de la terte Sont pour conſerver l’animal, Mais les mettaux cauſent ſon mal Et luy livrent toûjours la guerte;	Toutes les plantes de la terte Sont pour conserver l'animal, Mais les mettaux causent son mal Et lui livrent toujours la guerte;
Le Medecin trop negligeant qui n’a pour ſon bur que l’argent Laiſſe les plantes aux Bourriſques, pour aenger nes travaux prend comme les Empiriques i remede pour tous les maux.	Le Medecin trop négligeant qui n'a pour son bur que l'argent Laisse les plantes aux Bourrisques, pour aenger nés travaux prend comme les Empiriques y mède pour tous les maux.
MERCVRE.	MERCURE.
Aga, qui l’auroit ereu, voyez ce perit drolle,	Aga, qui l'aurait eu, voyez ce périt dolle,
MOMVS.	MOMUS.
Il parle comm’il faut, il ſç it fort bien ſon rolle	Il parle comm'il faut, il sa it fort bien son rolle
RADAMANTE.	RADAMANTE.
Et nos ſoldats perdus qui produit cet effet?	Et nos soldats perdus qui produit cet effet?
L’ANTIMOINE.	L'ANTIMOINE.
Vos ſoldats alterez voyans d’abord leur fait, Ont uetroene pour eux mes plus groſſes bouteilles, Et beuvant de ce vin qui va iuſqu’aux oreilles, s ſe ſont ajuſtez, eux-meſmes ay int pris Chez moy fort proprement du vin à iuſte prix.	Vos soldats altérez voyant d'abord leur fait, Ont uetroène pour eux mes plus grosses bouteilles, Et buvant de ce vin qui va jusqu'aux oreilles, s se sont ajustez, eux-mêmes ai int pris Chez moi fort proprement du vin à juste prix.
MERCVRE.	MERCURE.
Ils s’en porteront mieux ayant doublé la doſe.	Ils s'en porteront mieux ayant doublé la dose.
THEMYS parlant à Radamante.	THEMIS parlant à Radamante.
Tout voſtre proceder n’eſt donc pas autre choſe du mal entendu.	Tout votre procéder n'est donc pas autre chose du mal entendu.
RADAMANTE.	RADAMANTE.
Penſez à vos ſujets.	Pensez à vos sujets.
MERCVRE.	MERCURE.
Pour reparer le tort de ces rudes effets Venus m’a dérobé l’infaillible remede, qui rameine en ſanté tous ceux qui vont en Suede;	Pour réparer le tort de ces rudes effets Venus m'a dérobé l'infaillible remède, qui ramène en santé tous ceux qui vont en Suède;
Par ce ſubtil moyen, pour quinze reprouvez I'echange en meſme temps quarante enfar trouvez	Par ce subtil moyen, pour quinze réprouvez J'échange en même temps quarante enfar trouvez
MOMVS.	MOMUS.
Si les vieux ne pattoient lors qu’on a plu de guerte, Faudroit que lupiter fiſt encore vne terte Pour loger les petits.	Si les vieux ne pattaient lors qu'on a plu de guerte, Faudrait que lupiter fît encore une terte Pour loger les petits.
THEMYS.	THEMIS.
Par Arieſt deciſif, Nous avons declaré que tout autre abuſif, Sera declaré nul, cependant l’Emetique Remis en liberté ſauf appel de Critique, Pour ne s’en pas ſervir, permettant aux plus fis De ſe contregarder de tous les Medecins.	Par Ariest décisif, Nous avons déclaré que tout autre abusif, Sera déclaré nul, cependant l'Emetique Remis en liberté sauf appel de Critique, Pour ne s'en pas servir, permettant aux plus fis De se contregarder de tous les Médecins.
MERCVRE.	MERCURE.
Le voila toiſé net, & mis en bonne forme, Nous le faut au plûtoſt faire afficher ſou l’orme, Tous les Stibyoniens, h bebunt intentum,	Le voilà toisé net, et mis en bonne forme, Nous le faut au plûtost faire afficher sou l'orme, Tous les Stibyoniens, h bebunt intentum,
MOMVS.	MOMUS.
Nous avons gain de cauſe, & point de R tentum.	Nous avons gain de cause, et point de R entum.
Pindant que hacun ſe retin.	Pindant que hacun se retin.
MOMVS.	MOMUS.
Vive, vive Themys pour mettre la police, L’on a remede à tout, lors qu’on eſt en iuſtice, Voicy le Stiby pur ſans charbon & ſans bois Pour eſtre interrogé ſeulement vne fois;	Vive, vive Thémis pour mettre la police, L'on a remède à tout, lors qu'on est en justice, Voici le Stibi pur sans charbon et sans bois Pour chang interrogé seulement une fois;
Tous ceux qu’on nomme faux ſauniers, fauſſe monnoyé, Et les plus faux témoins avant qu’on les renvoje,	Tous ceux qu'on nomme faux sauniers, fausse monnoyé, Et les plus faux témoins avant qu'on les renvoje,
exiennent tous fort bons aſſis dans le bracart, toſt qu’on leur promet leur perit fait à part.	exiennent tous fort bons assis dans le bracart, tôt qu'on leur promet leur périt fait à part.
s voila tous de poids ſans manquer d’vne obolle, ſouvent ſans témoins on iuge à leurs paroles:	s voilà tous de poids sans manquer d'une obolle, souvent sans témoins on juge à leurs paroles:
n ieune marié qui n’eſt ſot qu’à demy, rouvant à ſon retour ſa femme & ſon amy, ur eſtre ſot parfait auſſi-toſt ſe va plaindre, pai vn bel Arreſt il s’acheve de peindre:	 neune marié qui n'est sot qu'à demi, rouvant à son retour sa femme et son ami, ur être sot parfait aussitôt se va plaindre, pai un bel Arrêt il s'achève de peindre:
n Aſne oſtant ſon baſt, pour quelque illuſtre employ, ra par vn Arreſt vn Docteur de la loy.	 Asne ôtant son bât, pour quelque illustre emploi, ra par un Arrêt un Docteur de la loi.
nſſi pour avoir tout ne faut point d’autre etole.	nssi pour avoir tout ne faut point d'autre étole.
ue de bien demêler trois brins de protocole;	Que de bien demêler trois brins de protocole;
uerterpeite;	Juerterpèite;
rammue avec tous leurs accez, e font pas tant d’effect qu’vn bon petit procez	rammue avec tous leurs accès, e ont pas tant d'effet qu'un bon petit procès
D FIN.	D FIN.
