R IRE, Y.	 IRE, Y.
Ouy je luis iort vanté,	Oui je luis jort vanté,
CARITIDES.	CARITIDES.
Monſieur, c’eſt une peine extréme, Lors qu’il faut à quelqu’un ſe produire ſoy-même, Et toûjours, prés des Grans on doit eſtre introduit, Par des gens, qui de nous faſſent un peu de bruit;	Monsieur, c'est une peine extrême, Lors qu'il faut à quelqu'un se produire soi-même, Et toujours, près des Grans on doit être introduit, Par des gens, qui de nous fassent un peu de bruit;
Dont la bouche écoutée, avecque poids debite, Ce qui peut faire voir noſtre petit merite :	Dont la bouche écoutée, avec poids debite, Ce qui peut faire voir notre petit mérite :
Enfin j’aurois voulu que des gens bien inſtruits, Vous euſſent pû, Monſieur, dire ce que je ſuis.	Enfin j'aurais voulu que des gens bien instruits, Vous eussent pu, Monsieur, dire ce que je suis.
ERASTE.	ERASTE.
Je vois aſſez, Monſieur, ce que vous pouvez eſtre, Et voſtre ſeul abord le peut faire connoiſtre.	Je vois assez, Monsieur, ce que vous pouvez être, Et votre seul abord le peut faire connaître.
CARITIDES.	CARITIDES.
Ouy je ſuis un ſçavant charmé de vos vertus.	Oui je suis un Savant charmé de vos vertus.
Non pas de ces ſçavans, dont le nom n’eſt qu’en us:	Non pas de ces savants, dont le nom n'est qu'en us:
Il n’eſt rien ſi commun, qu’un nom à la Latine.	Il n'est rien si commun, qu'un nom à la Latine.
Ceux qu’on habille en Grec ont bien meilleure mine 3 Et pour en avoir un qui ſe termine en es, Je me fais appeller Monſieur Caritides.	Ceux qu'on habille en Grec ont bien meilleure mine 3 Et pour en avoir un qui se termine en es, Je me fais appeler Monsieur Carites.
ERASTE.	ERASTE.
Monſieur Caritides ſoit, qu’avez-vous à dire?	Monsieur Caritides soit, qu'avez-vous à dire?
CARITIDES.	CARITIDES.
C’eſt un placet, Monſieur, que je voudrois vous lire;	C'est un placet, Monsieur, que je voudrais vous lire;
Et que dans la poſture, où vous met voſtre employ, J’oſe vous conjurer de preſenter au Roy.	Et que dans la posture, où vous met votre emploi, J'ose vous conjurer de présenter au Roi.
ERA	ERA
Hé!	Hé!
Monſieur, vous pouvez le preſenter vous-même.	Monsieur, vous pouvez le présenter vous-même.
CARITIDES.	CARITIDES.
Il eſt vray que le Roy fait cette grace extréme;	Il est vrai que le Roi fait cette grâce extrême;
Mais par ce même excés de ſes rares bontez, Tant de méchans placets, Monſieur, ſont preſcatez, Qu'ils eſtouffent les bons;	Mais par ce même excès de ses rares bontés, Tant de méchants placets, Monsieur, sont prescatés, Qu'ils étouffent les bons;
& l’eſpoir où je fonde.	et l'espoir où je fonde.
Eſt qu’on donne le mien, quand le Prifice eſt ſans monde.	Est qu'on donne le mien, quand le Prifice est sans monde.
ERASTE.	ERASTE.
Et bien vous le pouvez, & prendre voſtre temps.	Et bien vous le pouvez, et prendre votre temps.
ARITIDES.	ARITIDES.
Ah, Monſieur!	Ah, Monsieur!
les Huiſſiers ſont de terribles gens.	les Huissiers sont de terribles gens.
Ils traitent les Sçavans de faquins à naſardes;	Ils traitent les Savants de faquins à nasardes;
Et je n’en puis venir qu’à la ſalle des Gardes.	Et je n'en puis venir qu'à la salle des Gardes.
Les mauvais traitemens qu’il me faut endurer, rour jamais de la Cour me feroient retirer, Si je n’avois conceu l’eſperance certaihe, 4 Qu auples de nontte Roy rouordionmon Mecenc.	Les mauvais traitements qu'il me faut endurer, rour jamais de la Cour me feraient retirer, Si je n'avais conçu l'espérance certaihe, 4 Quel auples de nontte Roi rouordionmon Mecenc.
Ouy, voſtre credit m’eſt un moyen aſſeuré.	Oui, votre crédit m'est un moyen assuré.
7	7
ERASTE.	ERASTE.
Et bien donnez-moy donc, je le preſenteray.	Et bien donnez-moi donc, je le présenterai.
CARITIDES.	CARITIDES.
Le voicy;	Le voici;
mais au moins oyez en la lecture.	mais au moins oyez en la lecture.
Non.	Non.
ERASTE.	ERASTE.
CARITIDES.	CARITIDES.
C’eſt pour eſtre inſtruit, Monſieur, je voub conjure.	C'est pour être instruit, Monsieur, je voub conjure.
SIRE, 9 L'oſtre tres-humble, tres-obeïſſant, tres-fidelle, & tres ſȩavant ſujet & ſerviteur Caritides, François de nation, Grec de profeſſion;	SIRE, 9 L'ôtre très-humble, très-obeïssant, très-fidelle, et très savant sujet et serviteur Caritides, Français de nation, Grec de profession;
Ayant conſideré les grands & notables abus, qui ſe commettent aux inſeriptions des enſeignes des Maiſons, Boutiques, Cabarets, Jeux de Boule, & autres lieux de voſtre bonne Ville de Paris;	Ayant considéré les grands et notables abus, qui se commettent aux inseriptions des enseignes des Maisons, Boutiques, Cabarets, Jeux de Boule, et autres lieux de votre bonne Ville de Paris;
on ce que cértains ignorans compoſiteurs deſdites inſeriptions, renverſent, par une barbare, pernicieuſe & detéſtable orthographe toute forte de ſens & raiſon, ſans aucun égard d’Etimologie, Analogie, Energie, ny Allegorie quelconque;	on ce que cértains ignorants compositeurs dédites inseriptions, renversent, par une barbare, pernicieuse et detéstable orthographe toute forte de sens et raison, sans aucun égard d'Etimologie, Analogie, Energie, ni Allégorie quelconque;
au grand ſcandale de la Republique des Eettres, & de la nation Françoiſe, qui ſe décrie & deshonore par leſdits atus, & fautes groſſieres, envers les Eſtrangers, & notamment envers les Alcnans, cuhebx iεcttu O mſpecrumuijdités inſcriptions.	au grand scandale de la République des Eettres, et de la nation Française, qui se décrie et déshonore par lesdits atus, et fautes grossières, envers les Étrangers, et notamment envers les Alcnants, cuhebx icttu Ô mspecrumuijdités inscriptions.
ERASTE.	ERASTE.
Ce placet eſt fort long, & pourroit bien ſacher.	Ce placet est fort long, et pourrait bien sacher.
ARIT IDES.	ARIT IDES.
Ah!	Ah!
Monſieur, pas un mot ne s’en peut retrenchet.	Monsieur, pas un mot ne s'en peut retrenchet.
ERASTE.	ERASTE.
Achevez promptement.	Achevez promptement.
ARITI DES continuë.	ARITI DES continue.
Sapplie humblement veſtre Majeſté de treer, pour le bien de ſon Eſtat, & la gloire de ſon Empire, une Charge de Controlleur, Intendant, Correcteur, Reviſeur & Reſtaurateur general deſdites inſcriptions;	Sapplie humblement vêtre Majesté de treer, pour le bien de son État, et la gloire de son Empire, une Charge de Controlleur, Intendant, Correcteur, Revis et Restaurateur général dédites inscriptions;
& d’itelle honnorer le ſuppliant, tant en conſideration de ſou rart & eminent ſçavoi¬ que des grands & ſignalez fervices qu’il a rendus à l’Eſtat, & à Voſtre Majeſté, en faiſant l'Anagramme de Voſtre dite Majeſté en Francoit, Latin, Grec, Hebreu, Siriaque, Caldeen, Arabt.	et d'itelle honorer le suppliant, tant en considération de sou rart et éminent sçavoi¬ que des grands et signalés services qu'il a rendus à l'État, et à Votre Majesté, en faisant l'Anagramme de Votre dite Majesté en Francait, Latin, Grec, Hébreu, Siriaque, Calde, Arabt.
2 2	2 2
ERASTE l’interrompant.	ERASTE l'interrompant.
roir bienr domen le viſte, & faites la retraitte:	roir bienr domen le vite, et faites la retraite:
Ii ſera veu du Roy, c’eſt une affaire faite.	Ji sera vu du Roi, c'est une affaire faite.
RITIDES.	RITIDES.
Helas!	Hélas!
Monſieur, c’eſt tout que monſtrer mon placet.	Monsieur, c'est tout que montrer mon placet.
Si le Roy le peut voir, je ſuis ſeur de mon fait:	Si le Roi le peut voir, je suis sûr de mon fait:
Car comme ſa juſtice en toute chole eſt grande, Il ne pourta jamais refuſer ma demande.	Car comme sa justice en toute chole est grande, Il ne pourta jamais refuser ma demande.
Au reſte, pour porter au Ciel voſtre renom, Donnez-moy par écrit voſtre nom, & ſurnom, j'en veux faire un poeme, en foime t’aciontiche, Pans les deux bouts da Veis, & dans chaque heioiſiiche.	Au reste, pour porter au Ciel vôtre renom, Donnez-moi par écrit notre nom, et surnom, j'en veux faire un poème, en foime t'aciontiche, Pans les deux bouts da Veis, et dans chaque heioisiiche.
ASTE.	ASTE.
Ouy, vous l’aurez demain, Monſieur Caritides.	Oui, vous l'aurez demain, Monsieur Caritides.
Ma foy de tels ſçavans font des aſnes bien faits.	Ma foi de tels savants font des ânes bien faits.
J’autois fians d’autres temps bien ry de ſa ſottiie.	J'autais fiants d'autres temps bien ri de sa sottiie.
SCENE III.	SCÈNE III.
ORMIN, ERASTE.	ORMIN, ERASTE.
ORMIN.	ORMIN.
Q Ien qu’une grande affaire en ce lieu me conduile , J’ay voulu qu’il fortiſt, avant que vous parler.	Q Jen qu'une grande affaire en ce lieu me conduile , J'ai voulu qu'il sortît, avant que vous parler.
ERASTE.	ERASTE.
Fort bien, mais dépeſchons, car je veux m’en aller.	Fort bien, mais dépêchons, car je veux m'en aller.
47 ORMIN.	47 ORMIN.
Je me doute à peu prés que l’homme qui vous quitte, Vous a fort ennuyé, Monſieur, par ſa viſite.	Je me doute à peu prés que l'homme qui vous quitte, Vous a fort ennuyé, Monsieur, par sa visite.
2 C’eſt un vieux importun, qui n’a pas l’eſprit ſain, Et pour qui j’ay toûjours quelque defaite en main.	2 C'est un vieux importun, qui n'a pas l'esprit sain' Est pour qui j'ai toujours quelque défaite en main.
Au Mail, au Luxembourg, & dans les Tuilléries, Il fatigue le monde, avec ſes réveries:	Au Mail, au Luxembourg, et dans les Tuilleries, Il fatigue le monde, avec ses rêveries:
Et des gens, comme vous, doivent fuir l’entretienDetonsces Içavants-Ia, qui ne lon vons a lien.	Et des gens, comme vous, doivent fuir l'entretienDetonsces Iavants-Ia, qui ne lon vons à lien.
Pour moy je ne crains pas, que je vous importune, Puiſque je viens, Monſieur, faire voſtre fortune.	Pour moi je ne crains pas, que je vous importune, Puisque je viens, Monsieur, faire vôtre fortune.
ERASTE.	ERASTE.
Voicy quelque ſoufleur, de ces gens qui n’ont rien, Et vous viennent toûjours promettre tant de bien.	Voici quelque souleur, de ces gens qui n'ont rien, Et vous viennent toujours promettre tant de bien.
Vous avez fait, Monſieur, cette benite pierre, Qui peut, ſeule, enrichir tous les Roys de la terre.	Vous avez fait, Monsieur, cette bénite pierre, Qui peut, seule, enrichir tous les Rois de la terre.
ORMIN.	ORMIN.
La plaiſante penſée, helas, où vous voilà !	La plaisante pensée, hélas, où vous voilà !
Dieu me garde, Monſieur, d’eſtre de ces foux-là.	Dieu me garde, Monsieur, d'être de ces foux-là.
Je ne me repais point de viſions frivoles, Et je vous porte icy les ſolides paroles D’un avis, que par vous je veux donner au Roy, Et que tout cacheté je conſerve ſur moy.	Je ne me repais point de visions frivoles, Et je vous porte ici les solides paroles D'un avis, que par vous je veux donner au Roi, Et que tout cacheté je conserve sur moi.
Non de ces ſots projets, de ces chimeres vaines, Dont les Sur-intendants ont les oreilles pleines;	Non de ces sots projets, de ces chimères vaines, Dont les Sur-intendants ont les oreilles pleines;
Non de ces gueux d’avis, dont les pretentions Ne parlent que de vingt outrente millions:	Non de ces gueux d'avis, dont les prétentions Ne parlent que de vingt outrente millions:
Mais un, qui tous les ans, à ſi peu qu’on le monte, M2I*C En peut donner au Roy quatre cens, de bon conte:	Mais un, qui tous les ans, à si peu qu'on le monte, M2I*C En peut donner au Roi quatre cens, de bon conte:
mononmro Avec facilité, ſans riſque, ny ſoupçon, Et ſans fouler le peuple en aucune façon.	mononmro Avec facilité, sans risque, ni soupçon, Et sans fouler le peuple en aucune façon.
Enfin c’eſt un avis d’un gain inconcevable,  Et que du premier mot on trouvera faiſable.	Enfin c'est un avis d'un gain inconcevable, Et que du premier mot on trouvera faisable.
Ouy, pourveu que par vous je puiſſe eſtre pouſſé.	Oui, pourvu que par vous je puisse être poussé.
ERASTE.	ERASTE.
Soit, nous en parlerons, je ſuis un peu preſſé.	Soit, nous en parlerons, je suis un peu pressé.
LORMIN.	LORMIN.
Si vous me promettiez de garder le ſilence, Je vous découvrirois cet avis d’importance.	Si vous me promettiez de garder le silence, Je vous découvrirais cet avis d'importance.
ERASTE.	ERASTE.
Non, non, je ne veux point ſçavoir voſtre ſecret.	Non, non, je ne veux point sçavoir vôtre secret.
ORMIN.	ORMIN.
Monſieur, pour le trahir, je vous croy trop diſcret, Et veux, avec franchiſe, en deux mots vous l’apprendre.	Monsieur, pour le trahir, je vous crois trop discret, Et veux, avec franchise, en deux mots vous l'apprendre.
Il faut voir ſi quelqu’un ne peut point nous enten dre.	Il faut voir si quelqu'un ne peut point nous enten dre.
Cet avis merveilleux, dont je ſuis l’inventeur, Eſt que.	Cet avis merveilleux, dont je suis l'inventeur, Est que.
ERASTE.	ERASTE.
D’un peu plus loin, & pour cauſe, Monſieur.	D'un peu plus loin, et pour cause, Monsieur.
ORMIN.	ORMIN.
CoME Vous voyez le grand gain, ſans qu’il faille le dire, Que de ces ports de mer le Roy tous les ans tire.	CoME Vous voyez le grand gain, sans qu'il faille le dire, Que de ces ports de mer le Roi tous les ans tire.
Or l’avis dont encor nul ne s’eſt aviſé, Eſt qu’il faut de la France, & c’eſt un coup aiſé, En ſameux ports de mer mettre toutes les coſtes.	Or l'avis dont encor nul ne s'est avisé, Est qu'il faut de la France, et c'est un coup aisé, En sameux ports de me mettre toutes les côtes.
Ce ſeroit pour montet à des ſommes tres-hautes.	Ce serait pour montet à des sommes très-hautes.
Iti.	Iti.
ERASTE.	ERASTE.
L’avis eſt bon, & plaira fort au Roy.	L'avis est bon, et plaira fort au Roi.
Adieu, nous nous verrons.	Adieu, nous nous verrons.
ORMIN.	ORMIN.
21 1 Au moins appuyez-moy, Pour en avoir ouvert les premieres paroles.	21 1 Au moins appuyez-moi, Pour en avoir ouvert les premières paroles.
Ouy, ouy.	Oui, oui.
ORMIN Si vous vouliez me preſter deux piſtoles, Que vous reprendriez ſur le droit de l’avis, Monſieur.	ORMIN Si vous vouliez me prêter deux pistoles, Que vous reprendriez sur le droit de l'avis, Monsieur.
ER AIS TE.	ER AIS TE.
Ouy volontiers.	Oui volontiers.
Pluſt à Dieu, qu’à ce prix, De tous les importuns je puſſe me voir quitte!	Plût à Dieu, qu'à ce prix, De tous les importuns je pusse me voir quitte!
Voyez quel contretemps prend icy leur viſite!	Voyez quel contretemps prend ici leur visite!
Je penſe qu’à la fin je pourray bien ſortir.	Je pense qu'à la fin je pourrai bien sortir.
Viendra-t-il point quelqu’un encor me divertir?	Viendra-t-il point quelqu'un encor me divertir?
SCENE IV.	SCÈNE IV.
FILINTE, ERASTE.	FILINTE, ERASTE.
FILHINT E.	FILHINT E.
S AIIOVMAII Arquis, je viens d’apprendre une eſtrange nouvelle	 AIIOVMAII Arquis, je viens d'apprendre une étrange nouvelle
quoy 2 ERASTE.	quoi 2 ERASTE.
NS FALINTE.	NS FALINTE.
Qu’un homme, tantoſt, t’a fait une querelle.	Qu'un homme, tantôt, t'a fait une querelle.
ERASTE.	ERASTE.
Aoy	Aoi
FILINTE.	FILINTE.
Que te ſert-il de le diſſimuler?	Que te sert-il de le dissimuler?
Je ſçay de bonne parr qu’on t’a fait appeller;	Je sais de bonne parr qu'on t'a fait appeler;
Et comme ton amy, quoy qu’il en reüſſiſſe, jeie viens, contie tous, laiic one de lervice.	Et comme ton ami, quoi qu'il en réussisse, jeie viens, contie tous, laiic one de lervice.
ERASTE.	ERASTE.
Je te ſuis obligé;	Je te suis obligé;
mais croy que tu me fais.	mais crois que tu me fais.
FILINTE.	FILINTE.
Tu ne l’avoûras pas, mais tu ſors ſans valets:	Tu ne l'avouras pas, mais tu sors sans valets:
Demeure dans la ville, ou gagne la campagne;	Demeure dans la ville, ou gagne la campagne;
Tu n’iras nulle part que je ne t’accompagne.	Tu n'iras nulle part que je ne t'accompagne.
Ah!	Ah!
j’enrage.	j'enrage.
FILINTE.	FILINTE.
A quoy bon de te cacher de moy?	À quoi bon de te cacher de moi?
ERASTE.	ERASTE.
je te juie, marquis, quon sei moqué de toy.	je te juie, marquis, quon sei moqué de toi.
EILINTE.	EILINTE.
VEN En vain tu t’en deffens.	VEN En vain tu t'en défens.
AEMERRASTE.	AEMÈRASTE.
I MA Si d’aucun démeſſé.	I MA Si d'aucun démessé.
Que le Ciel me foudroye,	Que le Ciel me foudroie,
FILINTE.	FILINTE.
Tu penſes qu’on te croye?	Tu penses qu'on te croie?
ERASTE.	ERASTE.
NA Eh mon Dieu!	NA Eh mon Dieu!
je te dis, & ne deguiſe point, Que.	je te dis, et ne déguise point, Que.
FLLINTE.	FLLINTE.
Ne me crois pas dupe, & credule à ce point.	Ne me crois pas dupe, et crédule à ce point.
ERASTE.	ERASTE.
tauala ni conger:	tavala ni conger:
I	I
EALINTE.	ÉALINTE.
LMME LLLEEmuende INon.	LMME LLLEmuende INon.
n aoihai vo	n ahai vo
ERASTE.	ERASTE.
Laiſſe-moy, je te pue.	Laisse-moi, je te pue.
BILINTE.	BILINTE.
Toint d’affaire, Marquis.	Toint d'affaire, Marquis.
ERASTE.	ERASTE.
Une galanterie.	Une galanterie.
En certain Ilcu, ce Ioti.	En certain Ilcu, ce Joti.
FILINTE.	FILINTE.
Je ne te quitte pas:	Je ne te quitte pas:
En quel lieu que ce ſoit, je veux ſuivre tes pas.	En quel lieu que ce soit, je veux suivre tes pas.
ERASTE.	ERASTE.
Parbleu, puiſque tu veux que j’aye une querelle, Je conſens à l’avoir pour contenter ton zele:	Parbleu, puisque tu veux que j'aie une querelle, Je consens à l'avoir pour contenter ton zèle:
Ce iela contie toy qui melatsamager, Et dont je ne me puis par doucour degager.	Ce jela contie toi qui mélatsamager, Et dont je ne me puis par doucour dégager.
EILINTE.	EILINTE.
C’eſt fort mal d’un amy recevoir le ſervice :	C'est fort mal d'un ami recevoir le service :
Mais, puiſque je vous rens un ſi mauvais office, Adieu, vuidez ſans moy tout ce que vous aurez.	Mais, puisque je vous rends un si mauvais office, Adieu, videz sans moi tout ce que vous aurez.
DERASGTE.	DERASGTE.
Vous ſerez mon amy quand vous me quitterez.	Vous serez mon ami quand vous me quitterez.
Mais voyez quels malheurs ſuivent ma deſtinée!	Mais voyez quels malheurs suivent ma destinée!
Ils m’auront fait paſſer l'heure qu’on m’a donnée.	Ils m'auront fait passer l'heure qu'on m'a donnée.
CENE V.	CÈNE V.
emava as DAMIS, L’ESPINE, ERASTE,  LA RIVIERE.	emava as DAMIS, L'ÉPINE, ERASTE, LA RIVIERE.
DAMTS.	DAMTS.
Uoy, malgré moy, le traiſtre eſpere l’obtenir?	Où, malgré moi, le traître espère l'obtenir?
CAH:	CAH:
Inon juite counoua ie ſçaura prevenir.	Inon juite counoua a sçaura prévenir.
ERASTE.	ERASTE.
L’entrevoy là quelqu’un ſur la porte d’Orphiſe.	L'entrevoi là quelqu'un sur la porte d'Orphise.
Quoy, toûjours quelque obſtacle aux feux qu’elle authoriſe!	Quoi, toujours quelque obstacle aux feux qu'elle autorise!
LE N DAMIS.	LE N AMIS.
Ouy, j’ay ſçeu que ma Niece, en dépit de mes ſoins, Doit voir ce ſoir choz elle Eraſte ſans témoins.	Oui, j'ai su que ma Nièce, en dépit de mes soins, Doit voir ce soir choz elle Éraste sans témoins.
Qu’entens-je à ces gens-là dire de noſtre Maiſtre?	Qu'entends-je à ces gens-là dire de notre Maître?
Approchons doucement, lans nous faiſe connoiſtre.	Approchons doucement, lans nous faise connaître.
DAMIS.	DAMIS.
Mais avant qu’il ait lieu d’achever ſon deſſein, Il faut de mille coups percer ſon traiſtre ſein.	Mais avant qu'il ait lieu d'achever son dessein, Il faut de mille coups percer son traître sein.
Va-t-en faire venir ceux que je viens de dire, Pour les mettre en embuche aux lieux que je deſi, re;	Va -t-en faire venir ceux que je viens de dire, Pour les mettre en embûche aux lieux que je desi, re;
Afin, qu’au nom d’Eraſte, on foit preſt à vanger Mon honneur, que ſes feux ont l’orgœil d’outrager;	Afin, qu'au nom d'Éraste, on soit prêt à venger Mon honneur, que ses feux ont l'orgœil d'outrager;
Giompie dn fenten lous, qui dans ce lieu l’appelle;	Giompie dn fenten lous, qui dans ce lieu l'appelle;
Et noyer dans ſon ſang ſa flame criminelle.	Et noyer dans son sang sa flamme criminelle.
LA RHVTERE l’attaquant avec ſes compagnons.	LA RHUTERE l'attaquant avec ses compagnons.
Avant qu’à tes fureurs on puiſſe l’immoler, Traiſtre, tu trouveras en nous à qui parler.	Avant qu'à tes fureurs on puisse l'immoler, Traître, tu trouveras en nous à qui parler.
ERASTE mettant l’eſpée à la main.	ERASTE mettant l'épée à la main.
pien qu'il m ait voulu peluie, un pomt u ſionneus me preſſe.	pien qu'il m ait voulu peluie, un pom sionneus me presse.
De ſecourir icy l’oncle de ma Maiſtreſſe.	De secourir ici l'oncle de ma Maîtresse.
Je ſuis à vous, Monſieur.	Je suis à vous, Monsieur.
2	2
DAMIS aprés leur fuite.	DAMIS après leur fuite.
O Ciel, par quel ſecours, D'un trépas aſſeuré vois-je ſauver mes jours!	Ô Ciel, par quel secours, D'un trépas assuré vois-je sauver mes jours!
A qui ſuis-je obligé d’un ſi rare ſervice?	À qui suis-je obligé d'un si rare service?
ERASTE.	ERASTE.
Je n’ay fait, vous ſervant, qu’un acte de juſtice.	Je n'ai fait, vous servant, qu'un acte de justice.
DAMIS.	DAMIS.
cier:	cier:
puis-je a ltion breille ajoûter quelque foy?	puis-je a ltion breille ajouter quelque foi?
Eſt-ce la main d’Eraſte.	Est-ce la main d'Éraste.
Dea e	Dea e
ERASTE.	ERASTE.
Ouy, ouy, Monſieur, c’eſt moy.	Oui, oui, Monsieur, c'est moi.
Trop heureux, que ma main vous ait tité de peineTrop Tiop maineureuxdarell Mellte vollle naine.	Trop heureux, que ma main vous ait tité de peineTrop Tiop maineureuxdarell Mellte vollle naine.
DA MIS.	DA MIS.
6 Quoy, celuy, dont j’avois reſolu le trépas, Eſt celuy, qui pour moy vient d’employer ſon bras?	6 Quoi, celui, dont j'avais résolu le trépas, Est celui, qui pour moi vient d'employer son bras?
Ah!	Ah!
c’en eſt trop, mon cœur eſt contraint de ſe rendre;	c'en est trop, mon cœur est contraint de se rendre;
Et quoy que voſtre amour, ce ſoir, ait pû pretendie Ce trait ſi ſurprenant de generoſité Doit eſtoufer en moy toute animoſité.	Et quoi que votre amour, ce soir, ait pu prétendie Ce trait si surprenant de générosité Doit étouffer en moi toute animosité.
4 Je rougis de ma faute, & blâme mon caprice.	4 Je rougis de ma faute, et blâme mon caprice.
Ma haine trop long-temps vous a fait injuſtice;	Ma haine trop longtemps vous a fait injustice;
Et pour la condamner par un éclat fameux, Je vous joins, dés ce ſoir, à l’objet de vos veux.	Et pour la condamner par un éclat fameux, Je vous joins, dès ce soir, à l'objet de vos veux.
SCENE VI.	SCÈNE VI.
ORPHISE, DAMIS, E.	ORPHISE, DAMIS, E.
RASTE, ſuitte.	RASTE, suitte.
SRVAASE vemant avit un fambeaes d’argent à la main.	SRVASE vemant avit un fambebeaes d'argent à la main.
Onſieur, quelle avanture a d’un trouble effroyable.	Onsieur, quelle aventure a d'un trouble effroyable.
1	1
DAMES.	DAMES.
lir fuiece, elle n’a rien que de tres-agreable, Puis qu’aprés tant de vœux que j’ay blâmez en vous, C’eſt elle qui vous donne Eraſte pour Eſpoux.	lir fuiece, elle n'a rien que de très -agréable, Puis qu'après tant de vœux que j'ai blamés en vous, C'est elle qui vous donne Eraste pour Époux.
soà bras a repoune ie trepas, que j’evite;	soà bras a repoune ici trépas, que j'évite;
Et je veux, envers luy, que voſtre main m’acquiue.	Et je veux, envers jours, que votre main m'acquive.
RPHISE.	RPHISE.
Si c’eſt pour luy payer ce que vous luy devez, J’y conſens, devant tout aux jours qu’il a ſauvez.	Si c'est pour venir payer ce que vous lui devez, J'y consens, devant tout aux jours qu'il a sauvez.
ERASTE, Mon cœur eſt ſi ſurpris d’une telle merveille, Qu’en ce raviſſement, je doute, ſi je veille.	ERASTE, Mon cœur est si surpris d'une telle merveille, Qu'en ce ravissement, je doute, si je veille.
DAMIS.	DAMIS.
Celébrons l'heureux ſort, dont vous allés joüir;	Celébrons l'heureux sort, dont vous avez jouir;
Et que nos violons viennent nous réjoüir.	Et que nos violons viennent nous réjouir.
Comme les Violont veulent joüer, on frappe fort à la porte.	Comme les Violont veulent jouer, on frappe fort à la porte.
ERASTE.	ERASTE.
Qui frappe là ſi fort?	Qui frappe là si fort?
L E SP INE.	L E P INE.
Monſieur, ce ſont des Maſques, Qui portent des crin-crins, & des tambouis de Baſques.	Monsieur, ce sont des Masques, Qui portent des crin-crins, et des tambouis de Basques.
Les Maſques entrent, qui occupent toute la place.	Les Masques entrent, qui occupent toute la place.
ASTE.	ASTE.
Quoy, toûjours des Fâcheux?	Quoi, toujours des Fâcheux?
hola Suiſſes icy, Qu'on me faſſe fortir ces gredins que voicy.	holà Suisses ici, Qu'on me fasse sortir ces gredins que voici.
*IN.	*IN.
France	France
France	France
