LES GALANTES JERTVEVSES.	LES GALANTES JERTUEUSES.
Mais Madame, ie ſuis en ce point mal-heureux, Que le Ciel ne me void que d’vn œil rigoureux, Que l’aſtre dont le cours preſide à ma conduite, Auec beaucoup d’amour à mis peu de merite, Et qu’vn contraire effet me deſcouure en ce iour, Tout le merite en vous Madame, & point d’amour.	Mais Madame, je suis en ce point malheureux, Que le Ciel ne me void que d'un œil rigoureux, Que l'astre dont le cours preside à ma conduite, Avec beaucoup d'amour à mis peu de mérite, Et qu'un contraire effet me découvre en ce jour, Tout le mérite en vous Madame, et point d'amour.
DORANTE.	DORANTE.
1e n’ayme point Monſieur cette cajollerie, Voulez-vous m’obliger, laiſſez-moy ie vous prie.	1e n'aime point Monsieur cette cajolerie, Voulez-vous m'obliger, laissez-mo ie vous prie.
AR IOMANT.	AR JOMANT.
Hé bien, ie vay partir, receuez mes adieux, Mais au moins pour, vn peu tournez vers moy les yeux, Et ne refuſez pas à ma douleur profonde, Ce que la courtoiſie accorde à tout le monde, Ie conſens, s’il vous plait, que mes ſouſpirs ſoient vains, Mais ne me cachez pas ces aſtres inhumains, re les adoreray rigoureux, ou propices, D’vn ſeul de vos regards payez tous mes ſeruices , Et ie ſeray Madame, encor trop ſatisfaict, Si voſtre hainè void le coup qu'elle aura faict.	Hé bien, Seigneur vais partir, recevez mes adieux, Mais au moins pour, un peu tournez vers moi les yeux, Et ne refusez pas à ma douleur profonde, Ce que la courtoisie accorde à tout le monde, Je consens, s'il vous plaît, que mes soupirs soient vains, Mais ne me cachez pas ces astres inhumains, re les adorerai rigoureux, ou propices, D'un seul de vos regards payez tous mes services , Et ie seray Madame, encor trop satisfait, Si votre hainè si le coup qu'elle ha faict.
DORANTO, II regardant.	DORANTO, II regardant.
Hé bien.	Hé bien.
OLARTOERD.	OLARTORD.
Dieux elle cede!	Dieux elle cède!
ARTOMANT.	ARTOMANT.
inhumaint.	inhumaint.
DORANTE.	DORANTE.
Volage.	Volage.
ARIOMANT.	ARIOMANT.
Serez-vous ſans pitié?	Serez-vous sans pitié?
DORANTE.	DORANTE.
Seras-tu ſans courage?	Seras-tu sans courage?
ARIOMANT.	ARIOMANT.
Il en faut bien auoir pour ſouffrir vos diſcours.	Il en faut bien avoir pour souffrir vos discours.
DGRANTE.	DGRANTE.
Il faut trop de pitié pour te donner ſecours, Va, va, perfide Amant cajoller Liliane, Vne ſi bellę ardeur prez de moy ſe prophane, re ne ſuis plus d’humeur à te rendre content, Et tu fay trop languir la beauté qui i’attend.	Il faut trop de pitié pour te donner secours, Va, va, perfide Amant cajoler Liliane, si bellę ardeur prez de moi se prophane, re ne suis plus humeur te rendre content, Et tu fay trop languir la beauté qui attend.
CLAN TCENE dTelcale.	CLAN TENE dTelcale.
Ce diſcours me semet.	Ce discours me semet.
ARIOMANT.	ARIOMANT.
Adorable Dorante.	Adorable Dorante.
Vn erime ſuppoſé rend ma perte apparente.	Un erime supposé rend ma perte apparente.
Mais ie veuxque le Ciel qui lit dedãs nos cœuſ, Me faſſe reſſentir les plus viues rigueurs, si le oiunay iainan d'vne name uouudre.	Mais ie était le Ciel qui lit dedans nos cœur, Me fasse ressentir les plus vives rigueurs, si le oiunai jan d'une namène uouudre.
Si ie ne fus touſiours & conſtant, & fidelle.	Si ici ne fus toujours et constant, et fidèle.
Et ſi ie ne puis pas me dire iuſtement.	Et si ici ne puis pas me dire justement.
DORANTE.	DORANTE.
Auſſi diſſimulé que mal-heureux Amant, I’aduoüe Ariomant qu’vne nouuelle flame.	Aussi dissimulé que malheureux Amant, J'avoue Ariomant qu'une nouvelle flamme.
Depuis ton changement n’a point bruſlé ton ame, Mais auſſi deſloyal ie ne te puis celer, Qu’on ne t’a pas donné le loiſir de bruſter;	Depuis ton changement n'a point brûlé ton âme, Mais aussi déloyal Les ne te puis celer, Qu'on ne t'a pas donné le loisir de brûter;
L’amour qui te flattoit d’vne belle apparence, A fait dés le berceau mourir ton eſperance, Et les difficultez de ce nouueau projet, Te r’ameinent enfin à ton premier objet, Mais puis qu’vn foible appas de faueurs incettaines, T’a ſi facilement retiré de mes chaiſnes, Tu retournes enuaio, & ſcache deſormais, L Que qui rompt mes lieus ne les porte iamais.	L'amour qui te flattait d'une belle apparence, A fait dès le berceau mourir ton espérance, Et les difficultés de ce nouveau projet, Te rompt minent enfin à ton premier objet, Mais puis qu'un faible appas de faveurs incettaines, T'a si facilement retiré de mes chaînes, Tu retournes envaio, et scache désormais, L Que qui rompt mes lieus ne les porte jamais.
CLARTGENE, a lefcart.	CLARTGENE, a lefart.
Que dira-il encore?	Que dira-il encore?
& qu’eſt-ce qu’il eſpere?	et qu'est-ce qu'il espère?
ARIOMANT, preſente ſon eſpée à Dorante.	ARIOMANT, présente son épée à Dorante.
Bien:	Bien:
ſi ie ſuis coupable il vous faut ſatisfaire, Que ce fer par vos mains ſoit dans mon ſang plongé, Qui ſe vange ſoy-meſme eſt doublement vangé, Vous me verrez ſouffrir ſans murmure & ſans plainte, Ce libre chaſtiment d’vne offence contrainte.	si ici suis coupable il vous faut satisfaire, Que ce fer par vos mains soit dans mon sang plongé, Qui se venge soi-même est doublement vengé, Vous me verrez souffrir sans murmure et sans plainte, Ce libre châtiment d'une offense contrainte.
DORANTE.	DORANTE.
Ah Monſieur!	Ah Monsieur!
ie n’ay pas aſſez de cruauté, Pour punir par le fer voſtre infidelité:	Elle n'ai pas assez de cruauté, Pour punir par le fer votre infidélité:
Les Dames ne ſont pas au meurtre accouſtumées, Et ne font point mourir pour n’eſtre pas aymées, Le repentir qui ſuit vn infidelle Amant, Nous vange tous les iours aſſez ſeuerement, Viuez Ariomant,	Les Dames ne sont pas au meurtre accoutumées, Et ne font point mourir pour n'être pas aimées, Le repentir qui suit un infidèle Amant, Nous venge tous les jours assez sévèrement, Vivez Ariomant,
ANTOMAN I.	ANTOMAN I.
C’eſt n’eſt pas mon enuie, Rendez-moy voſtre amour, ou m’arrachez la vie.	C'est n'est pas mon envie, Rendez-moi votre amour, ou m'arrachez la vie.
DORANTE.	DORANTE.
Le temps me donnera du conſeil là deſſus,	Le temps me donnera du conseil là -dessus,
ARIOMANT, s’en allant.	ARIOMANT, s'en allant.
Fay Monarque des cœurs que mes vœux ſoient receus.	Fais Monarque des cœurs que mes vœux soient reçus.
CLARIGENE.	CLARIGENE.
Fay qu’il perde plutoſt & ſon temps, & ſa pe ine, Amour, & que Dorante oblige Clarigene!	Fais qu'il perde plutôt et son temps, et sa pe ine, Amour, et que Dorante oblige Clarigène!
Elle reſue, & ſans doute apres tous ſes granſports, Sa langue & ſon eſprit ne ſont pas bien d’accords.	Elle rêve, et sans doute après tous ses grantsports, Sa langue et son esprit ne sont pas bien d'accords.
N’aduancons pas encor.	N'avançons pas encor.
SCENE VII.	SCÈNE VII.
TORANTE, CLARIGENE.	TORANTE, CLARIGENE.
DORANTE.	DORANTE.
Ve ie fais miſerable, L’eſtat où ie me voids n’eſt-il pas déplorable, Ie ne ſcay que choiſir, ie ne ſcay que quitier, Ie reconnois mon mal, & ne puis l’éuiter;	Ve autre fais misérable, L'état où tu me voits n'est-il pas déplorable, Je ne sais que choisir, ie ne sais que quitier, Je reconnais mon mal, et ne puis l'éviter;
Ie reconnois mon bien, & ne le ſcaurois ſuiure, re crains également de mourir, & de viure, Et ce qui plus m’eſtonne, eſt qu’en moins d’vn moment, I’ay perdu liberté, plaiſir, & iugement, Amour a ſon Nectar à meſlé de l’abſynthe, ie fuis Ariomant, ie maltraicte Tyrinthe, Et toutesfois mon ſort iniuſte, & rigoureux, Me force malgré moy de les aymer tous deux:	Je reconnais mon bien, et ne le saurais suivre, re crains également de mourir, et de vivre, Et ce qui plus m'étonne, est qu'en moins d'un moment, J'ai perdu liberté, plaisir, et jugement, Amour à son Nectar à mêlé de l'absinthe, sans fuis Ariomant, ie maltraicte Tyrinthe, Et toutefois mon sort injuste, et rigoureux, Me force malgré moi de les aimer tous deux:
Mais dedans ce deſſein qu’elle eſt mon aduanture?	Mais dedans ce dessein qu'elle est mon aventure?
Le deſtin cherit l’vn, & l’autre la nature, De ces dons mutuels l’vn & l’autre n’a rien,	Le destin chérit l'Hôn, et autre la nature, De ces dons mutuels l'un et l'autre n'a rien,
L’vn plaiſt pour ſa per ſonne, & l’autre par ſon bien ;	L'un plaît pour sa per sonne, et l'autre par son bien ;
Si bien que pour m’oſter du ſoin qui m’importune, La nature deuoit ſeconder la fortune, Ou cette Deité qui preſide au threſors, En deuoit diſpoſer en faueur d’vn beau corps.	Si bien que pour m'ôter du soin qui m'importune, La nature devait seconder la fortune, Ou cette Déité qui préside au trésors, En devait disposer en faveur d'un beau corps.
L’vn & l’autre de vray ſe treuue en Clarigene, Mais bien loin de finir il augmente ma peine, Car bien qu’il me paroiſſe amoureux & courtois, Il eſt homme, ſubtil, courtiſan, & François, CLARIGENE, l'abordant.	L'un et l'autre de vrai se trouve en Clarigène, Mais bien loin de finir il augmente ma peine, Car bien qu'il me paraisse amoureux et courtois, Il est homme, subtil, courtisan, et Français, CLARIGENE, l'abordant.
leldia entcleprder	leldia entclepréder
* DORANTE.	* DORANTE.
Quoy Monſieur?	Quoi Monsieur?
CLARIGENE.	CLARIGENE.
Voſtre eſclaue, Et ſans trancher icy ny du beau, ny du braue, C’eſt ſeulement Madame en cette qualité, Que i’adore aujourd’huy voſtre rare beauté, Delices de mes yeux, doux charme de uos ames, Beau chef-d’œnure d’amour, viue ſource de Hames, Enfin que produiront mes vœux, & mes ſouſpirs?	Votre esclave, Et sans trancher icy ni du beau, ni du brave, C'est seulement Madame en cette qualité, Que j'adore aujourd'hui votre rare beauté, Délices de mes yeux, doux charme de âmes, Beau chef-d'œnure d'amour, vive source de Hames, Enfin que produiront mes vœux, et mes soupirs?
Serez-vous inſenſible à mes iuſtes deſirs?	Serez-vous insensible à mes justes désirs?
De tant umuuo natuno the meſme eſperance, Pour qui triompheront l’Amour & la conſtance?	De tant umo natuno thé même espérance, Pour qui triompheront l'Amour et la constance?
Ces yeux qui charment tout, ces vainqueurs abſolus, Sont-ils deſſus ce choix encore irreſolus?	Ces yeux qui charment tout, ces vainqueurs absolus, Sont-ils dessus ce choix encore irrésolus?
DORANIE.	DORANIE.
ils le ſons iaſtement aymable Clarigene, re ſcay que vous feiguez vne amoureuſe peine, Mais ſouuemt l’apparence eſt vn mitois bien faux, ie ſcay voſtre merite & le peu que ie vaux,	ils le sons jastement aimable Clarigène, re cai que vous feiguez une amoureuse peine, Mais souvemt l'apparence est un mitais bien faux, on sais votre mérite et le peu que mille vaux,
CLARIGENE.	CLARIGENE.
T’offencant tu me nuits, ton merite eſt extrrme, Cruelle, en t’eſtimant eſtime ce que i’ayme, Ne te tauales point quand tu domptes mon cœut, Mais cette modeſtie importe à ta rigueur, Tu te mett bat ainſi pour eſtre inacceſſible, Et ton abbaiſſement eſt vn refus viſible.	T'offensant tu me nuits, ton mérite est extrême, Cruelle, en t'estimant estime ce que j'aime, Ne te tavales point quand tu domptes mon cœut, Mais cette modestie importe à ta rigueur, Tu te mett bat ainsi pour être inaccessible, Et ton abaissement est un refus visible.
DORANTE.	DORANTE.
Non, vous me deuez croire, & i’atteſte les Dicar, Que vous eſtes l’objet le plus cher à mes yeux.	Non, vous me devez croire, et j'atteste les Dicar, Que vous êtes l'objet le plus cher à mes yeux.
I’eſtime voſtre eſprit, i’ayme voſtre perſonne, Ie prefere vos fers au bien d’vne couronne, Et ie croiroit mon ſort extremément heureux, Si vous eſtiez fidelle auſſi bien qu’amoureux, Miais auct que lar oi le criis vos aſciees , à toutes les beaurez vous offrez vos feruices, Toutes vous les aymez, & toutes ſeulement, Seruent à vos eſprits de diuert iſſement.	J'estime votre esprit, j'aime votre personne, Je préfère vos fers au bien d'une couronne, Et été croirait mon sort extrêmement heureux, Si vous étiez fidèle aussi bien qu'amoureux, Miais auct que lar oi le criis vos ascières , à toutes les beautés vous offrez vos services, Toutes vous les aimez, et toutes seulement, Servent à vos esprits de divert issement.
CLARIGENE.	CLARIGENE.
D’où prouient, iuſtes Dieux, ce changement extreme?	D'où prouient, justes Dieux, ce changement extrême?
Eſt-elle entor Dorante ?	Est-elle entor Ante ?
où ſuis-je encor moymeſie?	où suis-je encor moymesie?
Quel iniuſte ſoupcon excite ſa rigueur?	Quel injuste soupçon excite sa rigueur?
M’oſte ſa bien-veillance, & me change ſon cœur?	M'ôte sa bienveillance, et me change son cœur?
Dorante ay-je trahy l’amitié qui nous lie?	Dorante ai-je trahi l'amitié qui nous lie?
As-tu dans le berceau ta flame enſeuelie!	As-tu dans le berceau ta flamme ensevelie!
Ne t’en ſouuient-il plus?	Ne t'en souvient-il plus?
& dez le meſme iour Ie ſeray-je vn objet de meſpris, & d’amour.	et dé le même jour Je serai-je un objet de mépris, et d'amour.
DORANTE.	DORANTE.
Ie n’ay point de meſpris pour vn cœur que i’eſtime, Et vous traittant ſi mal, ie croirois faire vn crime, Mais la crainte.	Je n'ai point de mépris pour un cœur que j'estime, Et vous traitant si mal, Seigneur croirais faire un crime, Mais la crainte.
I'honneur, & la diſeretion, Refroidiſſent vn peu mon inclination:	J'honneur, et la disèretion, Refroidissent un peu mon inclination:
Ne deſirez-vous point que ie vous diſſimule, Ma ſeureté dépend de n’eſtre plus credule, De ne me point flatter d’vn eſprit deceuant, Ny de ce faux Amour que i’ay creu cy-deuant, ie ſcay que vous m’aymez, & ſans faite la vaine, ie cioy que voſtre cœur eſt content de ſa chaiſne, Mais ie ſcay bien auſſi le but de vos deſirs;	Ne désirez-vous point que votre vous dissimule, Ma sûreté dépend de n'être plus crédule, De ne me point flatter d'un esprit décevant, Ni de ce faux Amour que j'ai cru cyrêvant, je sais que vous m'aimez, et sans faite la vaine, tu cioi que votre cœur est content de sa chaîne, Mais je sais bien aussi le but de vos désirs;
Ainſi que mes attraits vous aymez vos plaiſirs, Voſtre amour ſeulement tend à cet aduantage, Et dans cette eſperance, il hait le mariage:	Ainsi que mes attraits vous aimez vos plaisirs, Votre amour seulement tend à cet avantage, Et dans cette espérance, il hait le mariage:
Quoy qu’on ne puiſſe rien contre vn Dieu qui peut tout, Ma vertu toutesfois en viendra bien à bout, Et contre ce Tyran me ſeruant de la fuite, Ie tromperay touſiours ſon aueugle conduite.	Quoi qu'on ne puisse rien contre un Dieu qui peut tout, Ma vertu toutefois en viendra bien à bout, Et contre ce Tyran me servant de la fuite, Je tromperai toujours son aveugle conduite.
CLARIGENE.	CLARIGENE.
Ah!	Ah!
ſans doute vn demon ennemy de mon bien, Vous a fait de ma flame vn mauuais entretien:	sans doute un démon ennemi de mon bien, Vous a fait de ma flamme un mauvais entretien:
Mais ie iure vos yeux & le flambeau celeſte, Les Dieux, les Elemens, & l’Amour que i’atteſte, Par les ſermens plus ſaints que peut faire vn mortel.	Mais était jure vos yeux et le flambeau celeste, Les Dieux, les Éléments, et l'Amour que j'atteste, Par les serments plus saints que peut faire un mortel.
Deſſus cet adorable, & glorieux autel, Que ie bruſle pour vous d’vne flame auſſi pure, Que le feu pourroit eſtre au lieu de ſa nature, Ouy croyez-le Madame.	Dessus cet adorable, et glorieux autel, Que tu brûle pour vous d'une flamme aussi pure, Que le feu pourrait être au lieu de sa nature, Oui croyez-le Madame.
DORANTE.	DORANTE.
Il eſt bien mal-aiſt, Apres l’aduis de ceux qui vous ont accuſé, Ie ſcay leur probité, ie connoy leur prudence, Ils tiennent ce ſecret de voſtre confidence, Et de plus ome gene, ils ſont.	Il est bien malait, Après l'avis de ceux qui vous ont accusé, Je sais leur probité, Seigneur connais leur prudence, Ils tiennent ce secret de votre confidence, Et de plus ome gène, ils sont.
CLARIGENE.	CLARIGENE.
Ci.	Ci.
DORANTE.	DORANTE.
Vos parens.	Vos parents.
CLARIGENE.	CLARIGENE.
Nommez-les mes bourreaux, ces traiſtres, ces tyrans, Qui pour auoir mes biens où buttent leur enuie, Par ces laſches moyens attentent ſur ma vie, Ouy Dorante voila leur perfide deſſeins, Leurs bouches font icy ce que n’oſent leurs mains, Et lors que de ce crime ils vous rendent complices, Vous croyez que leur ſcin vous rend vn bon office, Mais ſcachez qu’ils vous font prononcer vos arreſts, Moins pour voſtre repos que pour leurs indereſts, Dans la crainte qu’ils ont de laiſſer à vos charmes.	Nommez-les mes bourreaux, ces traîtres, ces tyrans, Qui pour avoir mes biens où butent leur envie, Par ces lâches moyens attentent sur ma vie, Oui Dorante voilà leur perfide desseins, Leurs bouches font ici ce que n'osent leurs mains, Et lors que de ce crime ils vous rendent complices, Vous croyez que leur scin vous rend un bon office, Mais sachez qu'ils vous font prononcer vos arrêts, Moins pour votre repos que pour leurs inderêts, Dans la crainte qu'ils ont de laisser à vos charmes.
Le bien que leur promet l’infolence des aiIhese	Le bien que leur promet l'insolence des aiIhésée
DORANTE.	DORANTE.
O Dieux en quel eſtat me treuue-je en ce iour, ie tremble en meſme temps, & de trainte;	Ô Dieux en quel état me trouve-je en ce jour, tu tremble en même temps, et de trainte;
& d’amour, Toutes deux ſur mes ſens ſont d’éga le puiſſance, L’vne veut vne choſe, & l’autre m’en diſpence, Et de ces paſſions qui quetellent chez moy, Ie ne ſcay qui des deux me donnera la loy.	et d'amour, Toutes deux sur mes sens sont d'égà le puissance, L'une veut une chose, et l'autre m'en dispense, Et de ces passions qui quetellent chez moi, Je ne sais qui des deux me donnera la loi.
Madame.	Madame.
CLARIGENE.	CLARIGENE.
DORANTE.	DORANTE.
Toundidez.	Toundidez.
CLARIGENE.	CLARIGENE.
re ne puis.	re ne puis.
DORANTE.	DORANTE.
Quelle crainte, Vous tient aupies ne moy dedans cette contrainte?	Quelle crainte, Vous tient aupies ne moi dedans cette contrainte?
OLARTGENE.	OLARTGENE.
Permettez-moy Madame.	Permettez-moi Madame.
DORANTE.	DORANTE.
Acheuez.	Achevez.
CLARIGENE.	CLARIGENE.
Deſperer.	Despérer.
Eſperez.	Espérez.
DORANTE.	DORANTE.
CLARIGENE.	CLARIGENE.
Ah Madame!	Ah Madame!
il vous faut adorer, Et pourueu que le cœur à la bouche reſponde, 1e me tiés aujourd’huy le plus heureux du mode.	il vous faut adorer, Et pourvu que le cœur à la bouche réponde, 1e me tiez aujourd'hui le plus heureux du mode.
DORANTE.	DORANTE.
Ouy, mais par vn malheur que ie a’ay pu preuoir, il ne m’eſt plus permis deſotmais de te voir, Mes parens abuſez d’vne iniuſte oreance, M’ont rigoureuſemens deffendu ta preſence, 3i bien que le ne puis auon tonehecien, Si quelque inuention de me donne ce bien.	Oui, mais par un malheur que sans aay pu prévoir, il ne m'est plus permis désotmais de te voir, Mes parents abusez d'une injuste oreance, M'ont rigoureusements défendu ta présence, 3i bien que le ne puis avon tonhecien, Si quelque invention de me donne ce bien.
CLAIIGENE.	CLAIGENE.
Amour ſubtil enfant de grace vn peu d’addreſſe!	Amour subtil enfant de grâce un peu d'adresse!
DORANTE.	DORANTE.
Fay ſemblant de bruſler pour vne autre maiſtreſſe, Rens-luy mille deuoirs, offre-luy tous tes ſoins, Et ſur tout quand mes yeux en ſeront les teſmoins, Par cet heureux moyen, & cette douce feinte, Tu nourriras mes feux, ie te verray ſans crainte, me queique Aacetion qu’onittolue de toy, le croiray que tes vœux l’addreſſeront à moy.	Fais semblant de brûler pour une autre maîtresse, Rends-lui mille devoirs, offre-lui tous tes soins, Et sur tout quand mes yeux en seront les témoins, Par cet heureux moyen, et cette douce feinte, Tu nourriras mes feux, tu te verrai sans crainte, me queique Aacetion qu'onittolue de toi, le croirai que tes vœux l'adresseront à moi.
CLRRIGENE.	CLRRIGENE.
Ah!	Ah!
ne m’obligez pas à tant de penitence.	ne m'obligez pas à tant de pénitence.
DORANTE.	DORANTE.
Ie veux par ce moyen eſprouuer ta conſtance.	Je veux par ce moyen éprouver ta constance.
CLARIGENE.	CLARIGENE.
auais neguiſer les leur, nenttce pas les trahin	auais néguiser les leur, nenttce pas les trahin
DORANTE.	DORANTE.
Ne me conteſte plus.	Ne me conteste plus.
& ſonge à m’obeïr.	et songe à m'obéir.
CLARIGENE.	CLARIGENE.
Hé bien i'obeïray, voſtre beauté l’ordonne.	Hé bien j'obéirai, votre beauté l'ordonne.
DORANTE.	DORANTE.
Suy donc de point en point la loy que ie te dõne, Et pour mieux exorcer ta flame & ton eſprit, Liliane eſt l’obiet que ma voix te preſcript Commence dés demain tes offres de ſeruice.	Sui donc de point en point la loi que je te dõne, Et pour mieux exorcer ta flamme et ton esprit, Liliane est l'objet que ma voix te prescript Commence dès demain tes offres de service.
CLARIGENE.	CLARIGENE.
Bien ie feray demain commencer mon ſupplice, Depais que mon mar neut ine ſeumled dt point,	Bien ici ferai demain commencer mon supplice, Dépais que mon mar neut ine seumled dût point,
Liliane paroiſt auec Tyrinthe.	Liliane paraît avec Tyrinthe.
Vous voyez mon bourreau, ne le differez point.	Vous voyez mon bourreau, ne le différez point.
DORANTE.	DORANTE.
Non Clarigene attens:	Non Clarigène attends:
Mais que luy veut Tyrinthe?	Mais que mille veut Tyrinthe?
CLARIOENE.	CLARIONE.
Luy parler de l’amour dont ſon ame eſt atteinte.	Lui parler de l'amour dont son âme est atteinte.
Adieu.	Adieu.
DORANTE.	DORANTE.
Elle ſort.	Elle sort.
CLARIGENE.	CLARIGENE.
Que ce diſcours la touche viuement!	Que ce discours la touche vivement!
La colere ſuccede à ſon eſtonnement, Tout rit à mes deſſeins, car deſſus ſon viſage, i’ay veu de ſon dépit vn aſſeuré preſage, Cet objet l’a ſurpriſe, & ie croy deſormais, Que Dotante eſt d’humeur à ne le voir iamais, Cependant éuitons ſa rencontre importune.	La colère succède à son étonnement, Tout rit à mes desseins, car dessus son visage, j'ai vu de son dépit un assuré présage, Cet objet l'a surprise, et ainsi crois désormais, Que Dotante est d'humeur à ne le voir jamais, Cependant éuitons sa rencontre importune.
Et remettons le tout au ſoin de la fortune.	Et remettons le tout au soin de la fortune.
Il ſort.	Il sort.
LILIANE.	LILIANE.
Nuain pour la flechir tu par les de tes feux, Dorante n’eſt point femme à receuoir tes vœux, Si tu ne la contraints par vn prompt mariage, De joiuie d eon deum Mieals & ſon aage, c eſt lvnique moyen d’acquenir les appas, Vat en voir ſes parens.	Nuérain pour la fléchir tu par les de tes feux, Dorante n'est point femme à recevoir tes vœux, Si tu ne la contraints par un prompt mariage, De joivie d' on de Mals et son âge, ç est lapique moyen d'acquenir les appas, Vat en voir ses parents.
TYRINTHE.	TYRINTHÉ.
Ie n’y manqueray pas.	Je n'y manquerai pas.
Il ſort.	Il sort.
LILIANE, ſeule.	LILIANE, seule.
Enfin vn rare effet ſuccede à mon addreſſe, 1e trompe en meſme temps l’amant & la maiſtreſſe, Car ſi Tyrinthe enfin la range ſoubs ſa Par cet heureux conſeil Clarigene eſt à moy.	Enfin un rare effet succède à mon adresse, 1e trompe en même temps l'amant et la maîtresse, Car si Tyrinthe enfin la range sous sa Par cet heureux conseil Clarigène est à moi.
ie trahis il eſt vray, mais ie le puis ſans m apres ce qu’on m’a fait, ma ruſe eſt legitime.	Elle trahis il est vrai, mais ainsi le puis sans m apres ce qu'on m'a fait, ma ruse est légitime.
ie dois tout entteprendre, & tenter iuſqu’au Vne fille amoureuſe eſt capable de tout.	On dois tout entprendre, et tenter jusqu'au V fille amoureuse est capable de tout.
Fin du troiſieſme Acte.	Fin du troisième Acte.
ACYETV.	ACYET.
SCENE I.	SCÈNE I.
CLARIGENE, LILIANE.	CLARIGENE, LILIANE.
19 CLARIGENE.	19 CLARIGENE.
Eſſe de témoigner vn ſoupcon qui m’ir123 alia i Puis que ta deffiance offence ton merite, Ie ſuis à Liliane, & les rigueurs du ſort, Contre ce beau deſſein feroient vn vain effort,	Esse de témoigner un soupçon qui m'ir123 alia y Puis que ta défiance offense ton mérite, Je suis à Liliane, et les rigueurs du sort, Contre ce beau dessein feraient un vain effort,
ETLIANE, Ce ſoupcon eſt bien iuſte, & ie ſcay que Dorante, A tes perfides yeux.	ETLIANE, Ce soupçon est bien juste, et Seigneur scai que Dorante, À tes perfides yeux.
CLARIGENE.	CLARIGENE.
Eſt bien indiſferente.	Est bien indisférente.
LILIANE.	LILIANE.
Dy plutoſt adorable, ingrat, & ſouuien-toy, Que de ces qualitez la premiere eſt pour moy.	Dis plutôt adorable, ingrat, et souvien-toi, Que de ces qualités la première est pour moi.
CLARIGENE.	CLARIGENE.
Quelque jalouſe erreur t’a donné cét ombrage, Liliane eſt la ſeule à qui ie rens homage, Et puiſſe mon treſpas punir ma trahizon, Si ie ſongeay iamais à rompre ma priſon, Ou ſi mon cœur malgré ſon injuſte colere, N’a pas tounouis ene dans le loi de te plaire,	Quelque jalouse erreur t'a donné cet ombrage, Liliane est la seule à qui m rens hommage, Et puisse mon trépas punir ma trahizon, Si ainsi songeai jamais à rompre ma prison, Ou si mon cœur malgré son injuste colère, N'a pas tounouis ene dans le lois de te plaire,
LILIANE.	LILIANE.
Quoy ce que i’apperceus quand elle t’aborda, L’œil dont à cet abord elle te regarda, Le tranſport qui parut à ton ame ſaiſie, Les vœux que tu couurois du nom de courtoiſie, Les diſcours que tu tins, ſes ſouſpirs que i’oüys, Quand Dorante s’offrit à tes yeux eſbloüys, L’humeur qui t’a deſpuis eſloigné de ma veuë, Ton inconſtance enfin ſi elaire, & ſi cogneuë, Et mille autres effets preuuent-ils pas aſſez, Qu’elle à dans ton eſprit mes attraits effacez?	Quoi ce que j'aperçus quand elle t'aborda, L'œil dont à cet abord elle te regarda, Le transport qui parut à ton âme saisie, Les vœux que tu couvrais du nom de courtoisie, Les discours que tu tins, ses soupirs que j'ouïs, Quand Dorante soffrit à tes yeux éblouis, L'humeur qui t'a despuis éloigné de ma vue, Ton inconstance enfin si elaire, et si connues, Et mille autres effets preuent-ils pas assez, Qu'elle à dans ton esprit mes attraits effacés?
CLARIGENE.	CLARIGENE.
Dy ce que tu voudras, mais ſi Dorante meſme, Te tiroit aujourd’huy de cette erreur extreme, N’aurois-je pas raiſon de me plaindre de toy, Qui cognois mon amour & doute de ma foy,	Dis ce que tu voudras, mais si Dorante même, Te tirait aujourd'hui de cette erreur extrême, N'aurais-je pas raison de me plaindre de toi, Qui connais mon amour et doute de ma foi,
DEDEMNE.	DÉDEMNE.
ie te crois auſſi peu que ie crains ce reproche, Dorante.	Ne te crois aussi peu que ainsi crains ce reproche, Dorante.
grace aux Dieux, la voicy qui s’approche, Et le Ciel l’a ſans doute inſpiré à venir.	grâce aux Dieux, la voici qui s'approche, Et le Ciel l'a sans doute inspiré à venir.
CLARIGENE.	CLARIGENE.
Pour te deſabuſer.	Pour te désabuser.
LILIANE.	LILIANE.
LILIANE.	LILIANE.
Mais dy pour te punir.	Mais dis pour te punir.
SCENE II.	SCÈNE II.
DORANIE, CLARIGENE, LILIANE.	DORANIE, CLARIGENE, LILIANE.
DORANTE.	DORANTE.
vels loit von entchen.	vels loit von entchen.
CLARIGENE, Nous parlions de Dorante.	CLARIGENE, Nous parlions de Dorante.
LILIANE.	LILIANE.
Ouy cauſeur, traitte-la comme vne indifferente, intretien-moy d’amour, parle moy de tes feux, lay que le luis tomume ru roujet de tesvaux, Que ie te touthe ſcule, & que prez de mes chaimes, Tous les autres objets n’õt que de foibles armes.	Oui causeur, traite-la comme une indifférente, intretien-moi d'amour, parle moi de tes feux, lai que le luis tomume ru jet de tesvaux, Que ie te touthène scule, et que près de mes chaimes, Tous les autres objets n'onêt que de faibles armes.
CLARIGENE.	CLARIGENE.
ie ſuis preſt, s’il vous plaiſt d’en dire encore	Il suis prêt, s'il vous plaît d'en dire encore
plus.	plus.
DORANTE.	DORANTE.
ie treuue ſur ce point vos débats ſuperflus, i’en demeure d’accord.	Ne trouve sur ce point vos débats superflus, j'en demeure d'accord.
LILIANE, tirant Dorante à part.	LILIANE, tirant Dorante à part.
